Original Model Parameters,Retrain or Addition,Total Trees,Dataset Increase Number,Binary Polymers Score,Terpolymer Test Score,Combined Test Score
"[64, 256, 8]",Retrain,74,5,0.8717948717948718,0.9012345679012346,0.8916666666666667
"[64, 256, 8]",Addition,74,5,0.8974358974358975,0.7407407407407407,0.7916666666666666
"[64, 256, 8]",Retrain,64,6,0.8974358974358975,0.9259259259259259,0.9166666666666666
"[64, 256, 8]",Retrain,76,6,0.8974358974358975,0.9259259259259259,0.9166666666666666
"[64, 256, 8]",Addition,76,6,0.8974358974358975,0.8518518518518519,0.8666666666666667
"[64, 256, 8]",Retrain,64,7,0.8974358974358975,0.9506172839506173,0.9333333333333333
"[64, 256, 8]",Retrain,78,7,0.8717948717948718,0.9629629629629629,0.9333333333333333
"[64, 256, 8]",Addition,78,7,0.8205128205128205,0.9135802469135802,0.8833333333333333
"[64, 256, 8]",Retrain,64,8,0.8717948717948718,0.9629629629629629,0.9333333333333333
"[64, 256, 8]",Retrain,80,8,0.8717948717948718,0.9629629629629629,0.9333333333333333
"[64, 256, 8]",Addition,80,8,0.717948717948718,0.9259259259259259,0.8583333333333333
"[64, 256, 8]",Retrain,64,9,0.8461538461538461,0.9629629629629629,0.925
"[64, 256, 8]",Retrain,82,9,0.8461538461538461,0.9506172839506173,0.9166666666666666
"[64, 256, 8]",Addition,82,9,0.717948717948718,0.9382716049382716,0.8666666666666667
"[64, 256, 8]",Retrain,64,10,0.8717948717948718,0.9506172839506173,0.925
"[64, 256, 8]",Retrain,84,10,0.8717948717948718,0.9506172839506173,0.925
"[64, 256, 8]",Addition,84,10,0.6666666666666666,0.9629629629629629,0.8666666666666667
"[256, 4, 256]",Basis,256,0,0.9743589743589743,0.5061728395061729,0.6583333333333333
"[256, 4, 256]",Retrain,256,1,0.9487179487179487,0.6419753086419753,0.7416666666666667
"[256, 4, 256]",Retrain,258,1,0.9487179487179487,0.6419753086419753,0.7416666666666667
"[256, 4, 256]",Addition,258,1,0.9743589743589743,0.5061728395061729,0.6583333333333333
"[256, 4, 256]",Retrain,256,2,0.8974358974358975,0.7901234567901234,0.825
"[256, 4, 256]",Retrain,260,2,0.8974358974358975,0.7901234567901234,0.825
"[256, 4, 256]",Addition,260,2,0.9487179487179487,0.5061728395061729,0.65
"[256, 4, 256]",Retrain,256,3,0.8974358974358975,0.8888888888888888,0.8916666666666667
"[256, 4, 256]",Retrain,262,3,0.8974358974358975,0.8888888888888888,0.8916666666666667
"[256, 4, 256]",Addition,262,3,0.9230769230769231,0.5185185185185185,0.65
"[256, 4, 256]",Retrain,256,4,0.8974358974358975,0.9135802469135802,0.9083333333333333
"[256, 4, 256]",Retrain,264,4,0.8974358974358975,0.9135802469135802,0.9083333333333333
"[256, 4, 256]",Addition,264,4,0.9230769230769231,0.5308641975308642,0.6583333333333333
"[256, 4, 256]",Retrain,256,5,0.8717948717948718,0.9259259259259259,0.9083333333333333
"[256, 4, 256]",Retrain,266,5,0.8717948717948718,0.9259259259259259,0.9083333333333333
"[256, 4, 256]",Addition,266,5,0.9230769230769231,0.5555555555555556,0.675
"[256, 4, 256]",Retrain,256,6,0.8974358974358975,0.9629629629629629,0.9416666666666667
"[256, 4, 256]",Retrain,268,6,0.8974358974358975,0.9629629629629629,0.9416666666666667
"[256, 4, 256]",Addition,268,6,0.8974358974358975,0.5802469135802469,0.6833333333333333
"[256, 4, 256]",Retrain,256,7,0.8974358974358975,0.9629629629629629,0.9416666666666667
"[256, 4, 256]",Retrain,270,7,0.8974358974358975,0.9629629629629629,0.9416666666666667
"[256, 4, 256]",Addition,270,7,0.8974358974358975,0.6172839506172839,0.7083333333333334
"[256, 4, 256]",Retrain,256,8,0.8461538461538461,0.9629629629629629,0.925
"[256, 4, 256]",Retrain,272,8,0.8717948717948718,0.9629629629629629,0.9333333333333333
"[256, 4, 256]",Addition,272,8,0.8974358974358975,0.6172839506172839,0.7083333333333334
"[256, 4, 256]",Retrain,256,9,0.8461538461538461,0.9629629629629629,0.925
"[256, 4, 256]",Retrain,274,9,0.8461538461538461,0.9629629629629629,0.925
"[256, 4, 256]",Addition,274,9,0.8974358974358975,0.6296296296296297,0.7166666666666667
"[256, 4, 256]",Retrain,256,10,0.8974358974358975,0.9506172839506173,0.9333333333333333
"[256, 4, 256]",Retrain,276,10,0.8974358974358975,0.9506172839506173,0.9333333333333333
"[256, 4, 256]",Addition,276,10,0.8974358974358975,0.6666666666666666,0.7416666666666667
