Original Model Parameters,Retrain or Addition,Total Trees,Dataset Increase Number,Binary Polymers Score,Terpolymer Test Score,Combined Test Score
"[16, 128, 512]",Retrain,20,2,0.6818181818181818,0.7530864197530864,0.7120418848167539
"[16, 128, 512]",Addition,20,2,0.7,0.5308641975308642,0.6282722513089005
"[16, 128, 512]",Retrain,16,3,0.7454545454545455,0.7654320987654321,0.7539267015706806
"[16, 128, 512]",Retrain,22,3,0.7545454545454545,0.7654320987654321,0.7591623036649214
"[16, 128, 512]",Addition,22,3,0.6727272727272727,0.6666666666666666,0.6701570680628273
"[16, 128, 512]",Retrain,16,4,0.6727272727272727,0.8888888888888888,0.7643979057591623
"[16, 128, 512]",Retrain,24,4,0.6818181818181818,0.9012345679012346,0.774869109947644
"[16, 128, 512]",Addition,24,4,0.6272727272727273,0.8641975308641975,0.7277486910994765
"[16, 128, 512]",Retrain,16,5,0.7,0.9012345679012346,0.7853403141361257
"[16, 128, 512]",Retrain,26,5,0.7,0.9135802469135802,0.7905759162303665
"[16, 128, 512]",Addition,26,5,0.5909090909090909,0.9506172839506173,0.743455497382199
"[16, 128, 512]",Retrain,16,6,0.7363636363636363,0.9135802469135802,0.8115183246073299
"[16, 128, 512]",Retrain,28,6,0.7272727272727273,0.9629629629629629,0.8272251308900523
"[16, 128, 512]",Addition,28,6,0.6,0.9506172839506173,0.7486910994764397
"[16, 128, 512]",Retrain,16,7,0.7090909090909091,0.9629629629629629,0.8167539267015707
"[16, 128, 512]",Retrain,30,7,0.6818181818181818,0.9629629629629629,0.8010471204188482
"[16, 128, 512]",Addition,30,7,0.5727272727272728,0.9629629629629629,0.7382198952879581
"[16, 128, 512]",Retrain,16,8,0.7818181818181819,0.9259259259259259,0.8429319371727748
"[16, 128, 512]",Retrain,32,8,0.7181818181818181,0.9259259259259259,0.806282722513089
"[16, 128, 512]",Addition,32,8,0.5454545454545454,0.9629629629629629,0.7225130890052356
"[16, 128, 512]",Retrain,16,9,0.7272727272727273,0.9506172839506173,0.8219895287958116
"[16, 128, 512]",Retrain,34,9,0.7272727272727273,0.9506172839506173,0.8219895287958116
"[16, 128, 512]",Addition,34,9,0.5545454545454546,0.9629629629629629,0.7277486910994765
"[16, 128, 512]",Retrain,16,10,0.7454545454545455,0.9629629629629629,0.837696335078534
"[16, 128, 512]",Retrain,36,10,0.7272727272727273,0.9506172839506173,0.8219895287958116
"[16, 128, 512]",Addition,36,10,0.5545454545454546,0.9629629629629629,0.7277486910994765
"[32, 256, 8]",Basis,32,0,0.7272727272727273,0.4691358024691358,0.6178010471204188
"[32, 256, 8]",Retrain,32,1,0.7454545454545455,0.5432098765432098,0.6596858638743456
"[32, 256, 8]",Retrain,34,1,0.7454545454545455,0.5432098765432098,0.6596858638743456
"[32, 256, 8]",Addition,34,1,0.7181818181818181,0.4691358024691358,0.612565445026178
"[32, 256, 8]",Retrain,32,2,0.7181818181818181,0.6049382716049383,0.6701570680628273
"[32, 256, 8]",Retrain,36,2,0.7181818181818181,0.5679012345679012,0.6544502617801047
"[32, 256, 8]",Addition,36,2,0.7090909090909091,0.5061728395061729,0.6230366492146597
"[32, 256, 8]",Retrain,32,3,0.7272727272727273,0.6419753086419753,0.6910994764397905
"[32, 256, 8]",Retrain,38,3,0.7181818181818181,0.654320987654321,0.6910994764397905
"[32, 256, 8]",Addition,38,3,0.7,0.5555555555555556,0.6387434554973822
"[32, 256, 8]",Retrain,32,4,0.7363636363636363,0.8271604938271605,0.774869109947644
"[32, 256, 8]",Retrain,40,4,0.7363636363636363,0.8024691358024691,0.7643979057591623
"[32, 256, 8]",Addition,40,4,0.6272727272727273,0.7283950617283951,0.6701570680628273
"[32, 256, 8]",Retrain,32,5,0.6727272727272727,0.8518518518518519,0.7486910994764397
"[32, 256, 8]",Retrain,42,5,0.7,0.8641975308641975,0.7696335078534031
"[32, 256, 8]",Addition,42,5,0.6,0.8641975308641975,0.7120418848167539
"[32, 256, 8]",Retrain,32,6,0.7272727272727273,0.9012345679012346,0.8010471204188482
"[32, 256, 8]",Retrain,44,6,0.7181818181818181,0.9012345679012346,0.7958115183246073
"[32, 256, 8]",Addition,44,6,0.5909090909090909,0.9135802469135802,0.7277486910994765
"[32, 256, 8]",Retrain,32,7,0.6909090909090909,0.9135802469135802,0.7853403141361257
"[32, 256, 8]",Retrain,46,7,0.7,0.9259259259259259,0.7958115183246073
"[32, 256, 8]",Addition,46,7,0.5818181818181818,0.9629629629629629,0.743455497382199
"[32, 256, 8]",Retrain,32,8,0.7090909090909091,0.9135802469135802,0.7958115183246073
"[32, 256, 8]",Retrain,48,8,0.6909090909090909,0.9259259259259259,0.7905759162303665
"[32, 256, 8]",Addition,48,8,0.5727272727272728,0.9506172839506173,0.7329842931937173
"[32, 256, 8]",Retrain,32,9,0.7272727272727273,0.9259259259259259,0.8115183246073299
"[32, 256, 8]",Retrain,50,9,0.6909090909090909,0.9135802469135802,0.7853403141361257
"[32, 256, 8]",Addition,50,9,0.5727272727272728,0.9629629629629629,0.7382198952879581
"[32, 256, 8]",Retrain,32,10,0.6727272727272727,0.9629629629629629,0.7958115183246073
"[32, 256, 8]",Retrain,52,10,0.6636363636363637,0.9629629629629629,0.7905759162303665
"[32, 256, 8]",Addition,52,10,0.5636363636363636,0.9629629629629629,0.7329842931937173
