Dataset,Number of Estimators,Max Depth,Min Samples Split,Min Samples Leaf,Max Leaf Nodes,Mean Cross Val Score,STD,"Eval [Library, Ter, Combined]"
Reduced,1,64,2,1,2,0.751035664,0.041102198,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,1,64,2,1,2,0.618246573,0.01267585,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,64,2,1,4,0.755942088,0.043340952,"[0.7948717948717948, 0.8641975308641975, 0.8416666666666667]"
Original,1,64,2,1,4,0.633620323,0.026373074,"[0.6181818181818182, 0.7777777777777778, 0.6858638743455497]"
Reduced,1,64,2,1,8,0.770849206,0.0465953,"[0.8205128205128205, 0.9012345679012346, 0.875]"
Original,1,64,2,1,8,0.675274531,0.032049949,"[0.6363636363636364, 0.7407407407407407, 0.680628272251309]"
Reduced,1,64,2,1,16,0.779429373,0.030206585,"[0.8461538461538461, 0.9259259259259259, 0.9]"
Original,1,64,2,1,16,0.687620077,0.02601137,"[0.6636363636363637, 0.9259259259259259, 0.774869109947644]"
Reduced,1,64,2,1,32,0.798066804,0.018142371,"[0.7948717948717948, 0.9135802469135802, 0.875]"
Original,1,64,2,1,32,0.673920155,0.041011815,"[0.6909090909090909, 0.9382716049382716, 0.7958115183246073]"
Reduced,1,64,2,1,64,0.797657725,0.013186464,"[0.7692307692307693, 0.9135802469135802, 0.8666666666666667]"
Original,1,64,2,1,64,0.682180355,0.037274304,"[0.6727272727272727, 0.9382716049382716, 0.7853403141361257]"
Reduced,1,64,2,1,128,0.797657725,0.013186464,"[0.7692307692307693, 0.9135802469135802, 0.8666666666666667]"
Original,1,64,2,1,128,0.679945469,0.035906554,"[0.6909090909090909, 0.9506172839506173, 0.8010471204188482]"
Reduced,1,64,2,1,256,0.797657725,0.013186464,"[0.7692307692307693, 0.9135802469135802, 0.8666666666666667]"
Original,1,64,2,1,256,0.679945469,0.035906554,"[0.6909090909090909, 0.9506172839506173, 0.8010471204188482]"
Reduced,1,64,2,1,512,0.797657725,0.013186464,"[0.7692307692307693, 0.9135802469135802, 0.8666666666666667]"
Original,1,64,2,1,512,0.679945469,0.035906554,"[0.6909090909090909, 0.9506172839506173, 0.8010471204188482]"
Reduced,1,128,2,1,2,0.751035664,0.041102198,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,1,128,2,1,2,0.618246573,0.01267585,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,128,2,1,4,0.755942088,0.043340952,"[0.7948717948717948, 0.8641975308641975, 0.8416666666666667]"
Original,1,128,2,1,4,0.633620323,0.026373074,"[0.6181818181818182, 0.7777777777777778, 0.6858638743455497]"
Reduced,1,128,2,1,8,0.770849206,0.0465953,"[0.8205128205128205, 0.9012345679012346, 0.875]"
Original,1,128,2,1,8,0.675274531,0.032049949,"[0.6363636363636364, 0.7407407407407407, 0.680628272251309]"
Reduced,1,128,2,1,16,0.779429373,0.030206585,"[0.8461538461538461, 0.9259259259259259, 0.9]"
Original,1,128,2,1,16,0.687620077,0.02601137,"[0.6636363636363637, 0.9259259259259259, 0.774869109947644]"
Reduced,1,128,2,1,32,0.798066804,0.018142371,"[0.7948717948717948, 0.9135802469135802, 0.875]"
Original,1,128,2,1,32,0.673920155,0.041011815,"[0.6909090909090909, 0.9382716049382716, 0.7958115183246073]"
Reduced,1,128,2,1,64,0.797657725,0.013186464,"[0.7692307692307693, 0.9135802469135802, 0.8666666666666667]"
Original,1,128,2,1,64,0.682180355,0.037274304,"[0.6727272727272727, 0.9382716049382716, 0.7853403141361257]"
