ChromatogramRI,
X:,Y:
6.35833,0.022
6.36,0.016
6.36167,0.006
6.36333,0.001
6.365,-0.003
6.36667,0.002
6.36833,0.007
6.37,0.011
6.37167,0.021
6.37333,0.021
6.375,0.02
6.37667,0.014
6.37833,0.003
6.38,-0.006
6.38167,-0.007
6.38333,0.002
6.385,0.012
6.38667,0.022
6.38833,0.027
6.39,0.027
6.39167,0.026
6.39333,0.016
6.395,0.007
6.39667,0.002
6.39833,0.002
6.4,0.007
6.40167,0.016
6.40333,0.02
6.405,0.025
6.40667,0.025
6.40833,0.021
6.41,0.006
6.41167,0.001
6.41333,-0.007
6.415,-0.007
6.41667,0.002
6.41833,0.007
6.42,0.012
6.42167,0.012
6.42333,0.007
6.425,0.008
6.42667,0
6.42833,-0.004
6.43,0
6.43167,0.006
6.43333,0.012
6.435,0.021
6.43667,0.022
6.43833,0.022
6.44,0.013
6.44167,0.008
6.44333,0
6.445,-0.011
6.44667,-0.006
6.44833,0
6.45,0.015
6.45167,0.02
6.45333,0.026
6.455,0.027
6.45667,0.027
6.45833,0.016
6.46,0.007
6.46167,0.002
6.46333,0.002
6.465,0.012
6.46667,0.022
6.46833,0.027
6.47,0.026
6.47167,0.017
6.47333,0.012
6.475,0.007
6.47667,0.001
6.47833,-0.004
6.48,0.006
6.48167,0.012
6.48333,0.021
6.485,0.02
6.48667,0.015
6.48833,0.01
6.49,0.005
6.49167,0.004
6.49333,0.009
6.495,0.009
6.49667,0.014
6.49833,0.024
6.5,0.023
6.50167,0.023
6.50333,0.018
6.505,0.013
6.50667,0.003
6.50833,-0.007
6.51,-0.012
6.51167,-0.007
6.51333,0.002
6.515,0.007
6.51667,0.012
6.51833,0.013
6.52,0.007
6.52167,0.002
6.52333,-0.002
6.525,-0.002
6.52667,-0.008
6.52833,-0.001
6.53,0.004
6.53167,0.011
6.53333,0.011
6.535,0.016
6.53667,0.006
6.53833,0.001
6.54,-0.01
6.54167,-0.016
6.54333,-0.017
6.545,-0.008
6.54667,-0.003
6.54833,0
6.55,0
6.55167,0
6.55333,-0.005
6.555,-0.005
6.55667,-0.011
6.55833,-0.012
6.56,-0.006
6.56167,-0.002
6.56333,0.007
6.565,0.008
6.56667,0.013
6.56833,0.012
6.57,0.007
6.57167,0.003
6.57333,-0.005
6.575,0
6.57667,0.001
6.57833,0.007
6.58,0.012
6.58167,0.017
6.58333,0.016
6.585,0.02
6.58667,0.014
6.58833,0.014
6.59,0.009
6.59167,0.01
6.59333,0.015
6.595,0.021
6.59667,0.026
6.59833,0.022
6.6,0.022
6.60167,0.017
6.60333,0.013
6.605,0.008
6.60667,-0.001
6.60833,0.002
6.61,0.011
6.61167,0.017
6.61333,0.021
6.615,0.022
6.61667,0.022
6.61833,0.012
6.62,0.006
6.62167,0.002
6.62333,0.002
6.625,0.002
6.62667,0.007
6.62833,0.018
6.63,0.024
6.63167,0.024
6.63333,0.024
6.635,0.02
6.63667,0.015
6.63833,0.006
6.64,0.001
6.64167,0.001
6.64333,0.012
6.645,0.022
6.64667,0.032
6.64833,0.026
6.65,0.021
6.65167,0.012
6.65333,0.007
6.655,0.003
6.65667,0.002
6.65833,0.008
6.66,0.018
6.66167,0.023
6.66333,0.028
6.665,0.019
6.66667,0.019
6.66833,0.014
6.67,0.009
6.67167,0.014
6.67333,0.019
6.675,0.029
6.67667,0.034
6.67833,0.039
6.68,0.039
6.68167,0.03
6.68333,0.019
6.685,0.014
6.68667,0.004
6.68833,-0.001
6.69,-0.001
6.69167,0.009
6.69333,0.02
6.695,0.02
6.69667,0.024
6.69833,0.019
6.7,0.014
6.70167,0.009
6.70333,0.005
6.705,0.005
6.70667,0.005
6.70833,0.006
6.71,0.017
6.71167,0.017
6.71333,0.016
6.715,0.011
6.71667,0.006
6.71833,-0.004
6.72,-0.004
6.72167,-0.003
6.72333,0.002
6.725,0.013
6.72667,0.025
6.72833,0.026
6.73,0.022
6.73167,0.022
6.73333,0.018
6.735,0.007
6.73667,0.002
6.73833,0.002
6.74,0.007
6.74167,0.018
6.74333,0.018
6.745,0.018
6.74667,0.012
6.74833,0.006
6.75,-0.003
6.75167,-0.012
6.75333,-0.012
6.755,-0.008
6.75667,0.002
6.75833,0.011
6.76,0.017
6.76167,0.017
6.76333,0.01
6.765,0.005
6.76667,-0.005
6.76833,-0.01
6.77,-0.01
6.77167,-0.001
6.77333,0.009
6.775,0.014
6.77667,0.013
6.77833,0.018
6.78,0.008
6.78167,0.003
6.78333,-0.001
6.785,-0.011
6.78667,-0.006
6.78833,0.003
6.79,0.008
6.79167,0.013
6.79333,0.017
6.795,0.017
6.79667,0.012
6.79833,0.013
6.8,0.008
6.80167,0.008
6.80333,0.018
6.805,0.023
6.80667,0.029
6.80833,0.029
6.81,0.024
6.81167,0.014
6.81333,0.009
6.815,0.003
6.81667,-0.006
6.81833,-0.005
6.82,0
6.82167,0.009
6.82333,0.023
6.825,0.027
6.82667,0.021
6.82833,0.016
6.83,0.01
6.83167,0.005
6.83333,0.005
6.835,0.005
6.83667,0.015
6.83833,0.019
6.84,0.019
6.84167,0.019
6.84333,0.019
6.845,0.014
6.84667,0.008
6.84833,0.003
6.85,0.002
6.85167,0.006
6.85333,0.011
6.855,0.021
6.85667,0.021
6.85833,0.021
6.86,0.021
6.86167,0.021
6.86333,0.016
6.865,0.007
6.86667,0.007
6.86833,0.008
6.87,0.014
6.87167,0.019
6.87333,0.024
6.875,0.024
6.87667,0.024
6.87833,0.018
6.88,0.018
6.88167,0.013
6.88333,0.018
6.885,0.022
6.88667,0.027
6.88833,0.027
6.89,0.032
6.89167,0.027
6.89333,0.022
6.895,0.012
6.89667,0.008
6.89833,0.003
6.9,0.009
6.90167,0.019
6.90333,0.025
6.905,0.03
6.90667,0.025
6.90833,0.02
6.91,0.015
6.91167,0.01
6.91333,0.004
6.915,0.009
6.91667,0.019
6.91833,0.028
6.92,0.038
6.92167,0.043
6.92333,0.038
6.925,0.023
6.92667,0.019
6.92833,0.009
6.93,0.005
6.93167,0.006
6.93333,0.016
6.935,0.021
6.93667,0.026
6.93833,0.031
6.94,0.026
6.94167,0.016
6.94333,0.011
6.945,0.011
6.94667,0.011
6.94833,0.012
6.95,0.022
6.95167,0.032
6.95333,0.037
6.955,0.037
6.95667,0.037
6.95833,0.032
6.96,0.022
6.96167,0.017
6.96333,0.017
6.965,0.017
6.96667,0.022
6.96833,0.032
6.97,0.032
6.97167,0.026
6.97333,0.026
6.975,0.021
6.97667,0.021
6.97833,0.017
6.98,0.016
6.98167,0.016
6.98333,0.021
6.985,0.032
6.98667,0.037
6.98833,0.031
6.99,0.03
6.99167,0.025
6.99333,0.02
6.995,0.015
6.99667,0.016
6.99833,0.016
7,0.025
7.00167,0.03
7.00333,0.034
7.005,0.029
7.00667,0.02
7.00833,0.015
7.01,0.01
7.01167,0.01
7.01333,0.015
7.015,0.024
7.01667,0.03
7.01833,0.03
7.02,0.029
7.02167,0.024
7.02333,0.019
7.025,0.014
7.02667,0.014
7.02833,0.014
7.03,0.019
7.03167,0.024
7.03333,0.033
7.035,0.033
7.03667,0.032
7.03833,0.037
7.04,0.027
7.04167,0.018
7.04333,0.013
7.045,0.013
7.04667,0.018
7.04833,0.028
7.05,0.034
7.05167,0.034
7.05333,0.034
7.055,0.029
7.05667,0.019
7.05833,0.014
7.06,0.014
7.06167,0.019
7.06333,0.024
7.065,0.03
7.06667,0.036
7.06833,0.032
7.07,0.033
7.07167,0.028
7.07333,0.025
7.075,0.021
7.07667,0.021
7.07833,0.021
7.08,0.02
7.08167,0.025
7.08333,0.03
7.085,0.034
7.08667,0.034
7.08833,0.024
7.09,0.014
7.09167,0.009
7.09333,0.009
7.095,0.018
7.09667,0.028
7.09833,0.038
7.1,0.043
7.10167,0.042
7.10333,0.037
7.105,0.026
7.10667,0.021
7.10833,0.016
7.11,0.021
7.11167,0.027
7.11333,0.038
7.115,0.038
7.11667,0.039
7.11833,0.04
7.12,0.03
7.12167,0.025
7.12333,0.014
7.125,0.014
7.12667,0.019
7.12833,0.029
7.13,0.034
7.13167,0.045
7.13333,0.04
7.135,0.039
7.13667,0.035
7.13833,0.025
7.14,0.014
7.14167,0.014
7.14333,0.019
7.145,0.024
7.14667,0.034
7.14833,0.035
7.15,0.041
7.15167,0.035
7.15333,0.03
7.155,0.025
7.15667,0.02
