ChromatogramRI,
X:,Y:
6.61167,0.174
6.61333,0.174
6.615,0.179
6.61667,0.174
6.61833,0.164
6.62,0.153
6.62167,0.153
6.62333,0.148
6.625,0.153
6.62667,0.164
6.62833,0.174
6.63,0.174
6.63167,0.179
6.63333,0.174
6.635,0.171
6.63667,0.166
6.63833,0.156
6.64,0.157
6.64167,0.162
6.64333,0.168
6.645,0.178
6.64667,0.178
6.64833,0.178
6.65,0.173
6.65167,0.173
6.65333,0.168
6.655,0.168
6.65667,0.167
6.65833,0.176
6.66,0.175
6.66167,0.184
6.66333,0.184
6.665,0.178
6.66667,0.173
6.66833,0.168
6.67,0.163
6.67167,0.158
6.67333,0.163
6.675,0.173
6.67667,0.178
6.67833,0.184
6.68,0.183
6.68167,0.182
6.68333,0.176
6.685,0.171
6.68667,0.16
6.68833,0.16
6.69,0.165
6.69167,0.179
6.69333,0.189
6.695,0.194
6.69667,0.195
6.69833,0.19
6.7,0.185
6.70167,0.176
6.70333,0.176
6.705,0.182
6.70667,0.181
6.70833,0.197
6.71,0.202
6.71167,0.202
6.71333,0.203
6.715,0.198
6.71667,0.192
6.71833,0.187
6.72,0.181
6.72167,0.186
6.72333,0.195
6.725,0.2
6.72667,0.205
6.72833,0.206
6.73,0.201
6.73167,0.197
6.73333,0.192
6.735,0.188
6.73667,0.184
6.73833,0.19
6.74,0.192
6.74167,0.197
6.74333,0.203
6.745,0.198
6.74667,0.193
6.74833,0.188
6.75,0.184
6.75167,0.174
6.75333,0.176
6.755,0.181
6.75667,0.188
6.75833,0.194
6.76,0.2
6.76167,0.196
6.76333,0.187
6.765,0.183
6.76667,0.179
6.76833,0.173
6.77,0.179
6.77167,0.184
6.77333,0.194
6.775,0.199
6.77667,0.199
6.77833,0.198
6.78,0.193
6.78167,0.187
6.78333,0.182
6.785,0.182
6.78667,0.186
6.78833,0.191
6.79,0.206
6.79167,0.215
6.79333,0.215
6.795,0.214
6.79667,0.203
6.79833,0.197
6.8,0.192
6.80167,0.197
6.80333,0.197
6.805,0.202
6.80667,0.207
6.80833,0.207
6.81,0.201
6.81167,0.196
6.81333,0.196
6.815,0.191
6.81667,0.191
6.81833,0.191
6.82,0.195
6.82167,0.199
6.82333,0.204
6.825,0.208
6.82667,0.208
6.82833,0.203
6.83,0.197
6.83167,0.192
6.83333,0.192
6.835,0.202
6.83667,0.206
6.83833,0.211
6.84,0.217
6.84167,0.221
6.84333,0.221
6.845,0.22
6.84667,0.211
6.84833,0.201
6.85,0.196
6.85167,0.2
6.85333,0.205
6.855,0.215
6.85667,0.22
6.85833,0.22
6.86,0.211
6.86167,0.207
6.86333,0.203
6.865,0.203
6.86667,0.202
6.86833,0.207
6.87,0.217
6.87167,0.222
6.87333,0.226
6.875,0.226
6.87667,0.22
6.87833,0.216
6.88,0.211
6.88167,0.206
6.88333,0.211
6.885,0.227
6.88667,0.237
6.88833,0.243
6.89,0.244
6.89167,0.244
6.89333,0.237
6.895,0.227
6.89667,0.222
6.89833,0.216
6.9,0.221
6.90167,0.23
6.90333,0.235
6.905,0.24
6.90667,0.24
6.90833,0.234
6.91,0.229
6.91167,0.224
6.91333,0.224
6.915,0.22
6.91667,0.22
6.91833,0.23
6.92,0.235
6.92167,0.241
6.92333,0.235
6.925,0.234
6.92667,0.229
6.92833,0.223
