ChromatogramRI,
X:,Y:
6.55,-0.194
6.55167,-0.198
6.55333,-0.208
6.555,-0.208
6.55667,-0.202
6.55833,-0.196
6.56,-0.19
6.56167,-0.191
6.56333,-0.191
6.565,-0.192
6.56667,-0.197
6.56833,-0.208
6.57,-0.208
6.57167,-0.209
6.57333,-0.198
6.575,-0.193
6.57667,-0.193
6.57833,-0.193
6.58,-0.203
6.58167,-0.213
6.58333,-0.217
6.585,-0.232
6.58667,-0.232
6.58833,-0.223
6.59,-0.213
6.59167,-0.203
6.59333,-0.204
6.595,-0.204
6.59667,-0.215
6.59833,-0.221
6.6,-0.23
6.60167,-0.235
6.60333,-0.234
6.605,-0.229
6.60667,-0.224
6.60833,-0.213
6.61,-0.218
6.61167,-0.223
6.61333,-0.223
6.615,-0.227
6.61667,-0.237
6.61833,-0.241
6.62,-0.241
6.62167,-0.231
6.62333,-0.215
6.625,-0.21
6.62667,-0.21
6.62833,-0.215
6.63,-0.219
6.63167,-0.229
6.63333,-0.234
6.635,-0.234
6.63667,-0.229
6.63833,-0.223
6.64,-0.217
6.64167,-0.207
6.64333,-0.212
6.645,-0.212
6.64667,-0.223
6.64833,-0.233
6.65,-0.242
6.65167,-0.247
6.65333,-0.242
6.655,-0.233
6.65667,-0.228
6.65833,-0.224
6.66,-0.224
6.66167,-0.229
6.66333,-0.239
6.665,-0.244
6.66667,-0.25
6.66833,-0.25
6.67,-0.24
6.67167,-0.236
6.67333,-0.232
6.675,-0.233
6.67667,-0.242
6.67833,-0.247
6.68,-0.262
6.68167,-0.262
6.68333,-0.262
6.685,-0.261
6.68667,-0.25
6.68833,-0.245
6.69,-0.245
6.69167,-0.245
6.69333,-0.25
6.695,-0.256
6.69667,-0.266
6.69833,-0.27
6.7,-0.276
6.70167,-0.264
6.70333,-0.254
6.705,-0.244
6.70667,-0.243
6.70833,-0.248
6.71,-0.253
6.71167,-0.263
6.71333,-0.268
6.715,-0.279
6.71667,-0.275
6.71833,-0.269
6.72,-0.259
6.72167,-0.249
6.72333,-0.25
6.725,-0.25
6.72667,-0.26
6.72833,-0.27
