,Polymer_Name_P,Biodegradable,Ratio 1,Ratio 2,Ratio 3
7,AZA25_DMI25_PRD50_P,Y,1.2,0.8,2.0
22,DMI50_DPD25_BPA25_P,N,2.0,0.9,1.1
27,DMT50_BTD25_CHD25_P,N,2.0,0.8,1.2
35,DMT50_ETG25_BED25_P,Y,2.0,0.7,1.3
42,DMT50_PRD25_BED25_P,Y,2.0,0.6,1.4
52,GLA25_DMT25_CHD50_P,Y,1.8,0.2,2.0
60,SCA25_DMT25_ETG50_P,Y,1.8,0.2,2.0
61,SUA25_DMI25_MPD50_P,Y,1.3,0.7,2.0
11,ADA25_TOA25_MRD50_P,Y,1.0,1.0,2.0
20,SUA50_BTD25_BND25_P,Y,2.0,0.8,1.2
54,SCA50_DMD25_OTD25_P,Y,2.0,1.0,1.0
57,CCD50_DMD25_BED25_P,N,2.0,1.0,1.0
63,DGA50_DMD25_OTD25_P,Y,2.0,1.0,1.0
65,EBA50_DMD25_DPG25_P,Y,2.0,1.1,0.9
96,CCD50_BND25_BPA25_P,Y,2.0,1.4,0.6
100,TOA50_BND25_GGE25_P,Y,2.0,1.0,1.0
123,ADA50_TPD25_PTD25_P,Y,2.0,0.9,1.1
139,DGA25_ADA25_DPD50_P,Y,1.1,0.9,2.0
154,GLA50_HND25_BED25_P,Y,2.0,2.0,0.0
172,SUA50_CHM25_TEG25_P,Y,2.0,1.2,0.8
181,GLA25_AZA25_CHM50_P,Y,1.0,1.0,2.0
206,ADA25_CCD25_BED50_P,Y,0.6,1.4,2.0
217,GLA25_EBA25_CHD50_P,Y,1.0,1.0,2.0
219,GLA50_DCD25_BPA25_P,Y,2.0,1.1,0.9
221,DGA50_GGE25_BPA25_P,Y,2.0,1.3,0.7
