,Polymer_Name_P,Biodegradable,Ratio 1,Ratio 2,Ratio 3
0,ADA25_DMI25_BND50_P,Y,1.4,0.6,2.0
1,ADA25_DMI25_BTD50_P,Y,0.9,1.1,2.0
3,ADA25_DMT25_DPD50_P,N,1.1,0.9,2.0
4,ADA25_DMT25_HND50_P,Y,1.2,0.8,2.0
7,AZA25_DMI25_PRD50_P,Y,1.2,0.8,2.0
8,CCD25_DMI25_MRD50_P,Y,1.2,0.8,2.0
14,DGA25_DMT25_PTD50_P,Y,1.1,0.9,2.0
18,DMI50_CHD25_DCD25_P,Y,2.0,0.8,1.2
20,DMI50_DMD25_DPG25_P,Y,2.0,0.7,1.3
29,DMT50_DCD25_BPA25_P,N,2.0,0.9,1.1
33,DMT50_DPD25_HND25_P,N,2.0,0.9,1.1
34,DMT50_DPD25_OTD25_P,Y,2.0,0.8,1.2
35,DMT50_ETG25_BED25_P,Y,2.0,0.7,1.3
38,DMT50_MPD25_BPA25_P,N,2.0,1.0,1.0
43,DMT50_PRD25_DPG25_P,Y,2.0,0.8,1.2
46,DMT50_TPD25_NND25_P,N,2.0,0.6,1.4
47,DMT50_TPG25_BED25_P,Y,2.0,0.3,1.7
48,DMT50_TPG25_BPA25_P,N,2.0,1.2,0.8
50,EBA25_DMT25_TPG50_P,Y,1.2,0.8,2.0
51,GLA25_DMI25_BND50_P,Y,1.2,0.8,2.0
52,GLA25_DMT25_CHD50_P,Y,1.8,0.2,2.0
56,SBA25_DMT25_CHM50_P,Y,1.5,0.5,2.0
60,SCA25_DMT25_ETG50_P,Y,1.8,0.2,2.0
62,SUA25_DMT25_PRD50_P,Y,1.3,0.7,2.0
63,TOA25_DMI25_HND50_P,Y,1.0,1.0,2.0
1,EBA50_MRD25_PRD25_P,Y,2.0,1.6,0.4
7,DGA25_SUA25_MRD50_P,Y,1.0,1.0,2.0
14,CCD50_BTD25_TPG25_P,Y,2.0,1.0,1.0
23,GLA50_BTD25_DMD25_P,Y,2.0,0.7,1.3
26,SUA25_SBA25_BTD50_P,Y,1.0,1.0,2.0
30,ADA50_PRD25_CHD25_P,Y,2.0,0.9,1.1
46,GLA50_ETG25_TPG25_P,Y,2.0,0.9,1.1
49,CCD50_ETG25_TPG25_P,Y,2.0,0.8,1.2
61,SCA50_DMD25_GGE25_P,Y,2.0,1.0,1.0
79,SCA50_PPD25_GGE25_P,Y,2.0,1.0,1.0
84,GLA50_PPD25_TPD25_P,Y,2.0,1.1,0.9
99,DGA50_BND25_PTD25_P,Y,2.0,1.0,1.0
104,GLA50_DPG25_GGE25_P,Y,2.0,1.2,0.8
110,CCD50_DPG25_PTD25_P,Y,2.0,0.7,1.3
114,DGA25_ADA25_DPG50_P,Y,1.1,0.9,2.0
117,GLA50_TPD25_TEG25_P,Y,2.0,0.9,1.1
120,DGA50_TPD25_MPD25_P,Y,2.0,0.9,1.1
129,CCD50_DPD25_BED25_P,Y,2.0,1.1,0.9
142,GLA50_PTD25_OTD25_P,Y,2.0,0.9,1.1
169,TOA25_SBA25_TPG50_P,Y,0.6,1.4,2.0
189,AZA50_MPD25_OTD25_P,Y,2.0,1.0,1.0
191,DGA25_TOA25_MPD50_P,Y,1.0,1.0,2.0
193,ADA25_SUA25_MPD50_P,Y,1.0,1.0,2.0
195,TOA50_NND25_CHD25_P,Y,2.0,1.1,0.9
197,SUA25_AZA25_NND50_P,Y,1.5,0.5,2.0
198,TOA25_SBA25_NND50_P,Y,1.0,1.0,2.0
205,CCD25_AZA25_BED50_P,Y,0.7,1.3,2.0
212,EBA50_NND25_BED25_P,Y,2.0,0.8,1.2
216,SCA25_DGA25_CHD50_P,Y,1.0,1.0,2.0
220,GLA25_EBA25_DCD50_P,Y,1.1,0.9,2.0
224,SCA25_CCD25_DCD50_P,Y,1.0,1.0,2.0
225,ADA50_OTD25_BPA25_P,Y,2.0,1.2,0.8
232,GLA25_SBA25_BPA50_P,Y,1.1,0.9,2.0
233,EBA25_SBA25_BPA50_P,Y,0.9,1.1,2.0
