,Polymer_Name_P,Biodegradable,Ratio 1,Ratio 2,Ratio 3
9,CCD25_DMT25_GGE50_P,Y,1.8,0.2,2.0
13,DGA25_DMT25_ETG50_P,N,1.7,0.3,2.0
15,DMI50_BND25_TPD25_P,Y,2.0,1.3,0.7
21,DMI50_DMD25_MPD25_P,N,2.0,0.8,1.2
23,DMI50_DPG25_HND25_P,N,2.0,0.9,1.1
26,DMT50_BND25_BPA25_P,N,2.0,1.0,1.0
34,DMT50_DPD25_OTD25_P,Y,2.0,0.8,1.2
43,DMT50_PRD25_DPG25_P,Y,2.0,0.8,1.2
19,TOA50_BTD25_BND25_P,Y,2.0,0.9,1.1
22,DGA50_BTD25_DMD25_P,Y,2.0,0.9,1.1
40,CCD25_AZA25_PRD50_P,Y,0.6,1.4,2.0
60,TOA50_DMD25_PPD25_P,Y,2.0,1.0,1.0
90,GLA25_AZA25_PPD50_P,Y,1.0,1.0,2.0
112,SBA50_TPD25_TPG25_P,Y,2.0,0.6,1.4
115,SCA50_TPD25_HND25_P,Y,2.0,0.9,1.1
149,ADA50_DEG25_CHM25_P,Y,2.0,0.8,1.2
153,CCD50_DEG25_OTD25_P,Y,2.0,1.0,1.0
159,GLA50_HND25_OTD25_P,Y,2.0,1.0,1.0
177,TOA50_CHM25_CHD25_P,Y,2.0,1.0,1.0
192,GLA25_SBA25_MPD50_P,Y,2.0,1.0,1.0
199,SBA50_BED25_CHD25_P,Y,2.0,1.1,0.9
203,TOA25_SBA25_BED50_P,Y,1.0,1.0,2.0
211,GLA50_DCD25_OTD25_P,Y,2.0,1.0,1.0
218,SBA50_DCD25_GGE25_P,Y,2.0,1.1,0.9
229,SUA25_EBA25_OTD50_P,Y,1.1,0.9,2.0
