,Polymer_Name_P,Biodegradable,Ratio 1,Ratio 2,Ratio 3
7,AZA25_DMI25_PRD50_P,Y,1.2,0.8,2.0
18,DMI50_CHD25_DCD25_P,Y,2.0,0.8,1.2
20,DMI50_DMD25_DPG25_P,Y,2.0,0.7,1.3
21,DMI50_DMD25_MPD25_P,N,2.0,0.8,1.2
25,DMI50_PTD25_TPG25_P,Y,2.0,1.3,0.7
30,DMT50_DEG25_DCD25_P,N,2.0,0.8,1.2
16,ADA50_BTD25_GGE25_P,Y,2.0,0.9,1.1
18,TOA50_BTD25_PPD25_P,Y,2.0,0.9,1.1
24,TOA50_BTD25_ETG25_P,Y,2.0,0.9,1.1
25,CCD50_PRD25_BPA25_P,Y,2.0,2.0,0.0
55,ADA50_DMD25_CHM25_P,Y,2.0,0.7,1.3
83,EBA50_PPD25_MPD25_P,Y,2.0,1.0,1.0
107,SUA50_DPG25_TPG25_P,Y,2.0,1.0,1.0
135,CCD50_DPD25_NND25_P,Y,2.0,1.0,1.0
137,DGA50_DPD25_BED25_P,Y,2.0,1.0,1.0
150,DGA50_DEG25_OTD25_P,Y,2.0,1.0,1.0
190,ADA50_MPD25_CHD25_P,Y,2.0,1.6,0.4
194,DGA50_NND25_CHD25_P,Y,2.0,1.1,0.9
196,TOA25_AZA25_NND50_P,Y,1.0,1.0,2.0
200,AZA50_BED25_CHD25_P,Y,2.0,1.0,1.0
222,DGA25_SUA25_DCD50_P,Y,1.0,1.0,2.0
223,TOA25_SBA25_DCD50_P,Y,1.0,1.0,2.0
228,DGA25_AZA25_OTD50_P,Y,1.0,1.0,2.0
