,SMILES LIST,Ratio List,Biodegradability
73,"['C(=O)COCC(=O)', 'OCCCCCCO']","[1, 1]",1
74,"['C(=O)CN(C)CC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
75,"['C(=O)CCCCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
76,"['C(=O)CCCCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",1
77,"['C(=O)CCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
78,"['C(=O)CCCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
79,"['C(=O)CCC(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",0
80,"['C(=O)CN(C)CC(=O)', 'OC(C)C(C)O']","[1, 1]",1
81,"['C(=O)CCCCCC(=O)', 'OCCCO']","[1, 1]",1
82,"['C(=O)CCC(=O)', 'OCCCCCCCO']","[1, 1]",0
83,"['C(=O)CCCCC(=O)', 'OCCCCO']","[1, 1]",1
84,"['C(=O)CCCCC(=O)', 'OCCCCCCCO']","[1, 1]",0
85,"['C(=O)CN(C)CC(=O)', 'OCCCCCCCCO']","[1, 1]",1
86,"['C(=O)CCCCCCCCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
87,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCCO']","[1, 1]",0
88,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
89,"['C(=O)CCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",1
90,"['C(=O)CCCCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
91,"['C(=O)CCCCCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
92,"['C(=O)CCCCCCCC(=O)', 'OCCOCCO']","[1, 1]",1
93,"['C(=O)CCCCCCC(=O)', 'OCCOCCO']","[1, 1]",1
94,"['C(=O)CCCCCCCC(=O)', 'OCC(C)CO']","[1, 1]",0
95,"['C(=O)CCCCCCCCC(=O)', 'OCCOCCOCCO']","[1, 1]",1
96,"['C(=O)CSCC(=O)', 'OCCOCCOCCO']","[1, 1]",1
97,"['C(=O)CCCCCCC(=O)', 'OCCOCCOCCO']","[1, 1]",1
98,"['C(=O)CCCCCCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
99,"['C(=O)CCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
100,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
101,"['C(=O)CCCC(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
102,"['C(=O)CSCC(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
103,"['C(=O)CC(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
104,"['C(=O)CCCCCCCC(=O)', 'OCCSCCO']","[1, 1]",1
105,"['C(=O)COCCOCC(=O)', 'OC(CS1)SCC1O']","[1, 1]",0
106,"['C(=O)CCCCCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
107,"['C(=O)CCCCCCCCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
108,"['C(=O)CN(C)CC(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",1
109,"['C(=O)COCCOCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
110,"['C(=O)COCCOCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",1
111,"['C(=O)COCCOCC(=O)', 'OCC(C)(C)CO']","[1, 1]",1
112,"['C(=O)CCCC(=O)', 'OCC(C)O']","[1, 1]",0
113,"['C(=O)CCCCCCCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
114,"['C(=O)COCCOCC(=O)', 'OCCCO']","[1, 1]",1
115,"['C(=O)CCCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",1
116,"['C(=O)CCCCO', 'C(=O)CCCCC(CCCC)O']","[2, 1]",0
117,"['C(=O)CCCCCO', 'C(=O)CC(C)O']","[2, 1]",0
118,"['C(=O)CCCCCCCCCCCCCCCO', 'C(=O)C=CCC(CCCCC)O']","[2, 1]",0
119,"['C(=O)CCCCCCCCCCCCCCCO', 'C(=O)C=CCC(CCCCC)O']","[2, 1]",0
120,"['C(=O)CCCCO', 'C(=O)C=CCC(CCCCC)O']","[2, 1]",0
121,"['C(=O)CCCCCO', 'C(=O)CCCCO']","[2, 1]",1
122,"['C(=O)CCCCCCCCCCCCCCO', 'C(=O)CC(C)O']","[2, 1]",0
123,"['C(=O)CCCCO', 'C(=O)CCCCCCCCCCCCCCO']","[2, 1]",0
124,"['C(=O)CCO', 'C(=O)CCCCO']","[2, 1]",1
125,"['C(=O)CCO', 'C(=O)C(C)OC(=O)C(C)O']","[2, 1]",1
126,"['C(=O)C(C)OC(=O)C(C)O', 'C(=O)CCO']","[2, 1]",1
127,"['C(=O)CCCCCCCCCCCCCCCO', 'C(=O)CCCCCCCCCCCCCCCO']","[2, 1]",1
128,"['C(=O)CCCCCCCCCCCCCCO', 'C(=O)C(C)OC(=O)C(C)O']","[2, 1]",1
129,"['C(=O)CCCC(CCCCCCC)O', 'C(=O)C(C)OC(=O)C(C)O']","[2, 1]",0
130,"['C(=O)COC(=O)CO', 'C(=O)C=CCC(CCCCC)O']","[2, 1]",0
131,"['C(=O)CCCC(CCCC)O', 'C(=O)COC(=O)CO']","[2, 1]",1
132,"['C(=O)CCCC(CCCCCCC)O', 'C(=O)COC(=O)CO']","[2, 1]",0
133,"['C(=O)CCCCC(CCCC)O', 'C(=O)CC(C)O']","[2, 1]",0
134,"['C(=O)COC(=O)CO', 'C(=O)COC(=O)CO']","[2, 1]",0
135,"['C(=O)CCC(=O)', 'OCCSSCCO']","[1, 1]",1
136,"['C(=O)CCCCCCCC(=O)', 'OCC=CCO']","[1, 1]",1
137,"['C(=O)COCC(=O)', 'OCCCCCO']","[1, 1]",1
138,"['C(=O)CCCCC(=O)', 'OCC#CCO']","[1, 1]",1
139,"['C(=O)CCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
140,"['C(=O)CCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
141,"['C(=O)CN(C)CC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",1
142,"['C(=O)COCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
143,"['C(=O)COCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
144,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
145,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",0
146,"['C(=O)CCCCCCCC(=O)', 'OCCO']","[1, 1]",0
147,"['C(=O)CCCCCCCC(=O)', 'OCCCCCO']","[1, 1]",0
148,"['C(=O)CCCCCC(=O)', 'OCCCCO']","[1, 1]",0
149,"['C(=O)CCCC(=O)', 'OCCO']","[1, 1]",1
150,"['C(=O)CCCCCCCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
151,"['C(=O)CCCC(=O)', 'OCCCO']","[1, 1]",1
152,"['C(=O)CCCC(=O)', 'OCCCCCCCO']","[1, 1]",0
153,"['C(=O)CCCCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
154,"['C(=O)CN(C)CC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
155,"['C(=O)CN(C)CC(=O)', 'OCCCCCO']","[1, 1]",1
156,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCCCCCCCO']","[1, 1]",0
157,"['C(=O)CCCCCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",1
158,"['C(=O)CCCCCCCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
159,"['C(=O)CCCCCCCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
160,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCO']","[1, 1]",0
161,"['C(=O)CSCC(=O)', 'OCC(C)CO']","[1, 1]",1
162,"['C(=O)CCCC(=O)', 'OCCOCCO']","[1, 1]",1
163,"['C(=O)CCCCCCCC(=O)', 'OCCOCCOCCO']","[1, 1]",0
164,"['C(=O)CCCCCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
165,"['C(=O)CCCCCCCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
166,"['C(=O)CSCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
167,"['C(=O)CCCCCCCC(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
168,"['C(=O)C(CC1)CCC1C(=O)', 'OCCSCCO']","[1, 1]",1
169,"['C(=O)CCCC(=O)', 'OCCSCCO']","[1, 1]",1
170,"['C(=O)COCCOCC(=O)', 'OCCSCCO']","[1, 1]",0
171,"['C(=O)COCC(=O)', 'OCCSCCO']","[1, 1]",1
172,"['C(=O)CCCCC(=O)', 'OCCSCCO']","[1, 1]",1
173,"['C(=O)CSCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
174,"['C(=O)CCCCCCCC(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",1
175,"['C(=O)COCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
176,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCO']","[1, 1]",1
177,"['C(=O)CCCCCCCCC(=O)', 'OCCC(C)CCO']","[1, 1]",0
178,"['C(=O)CCCCCCCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
179,"['C(=O)CCCCCC(=O)', 'OCC(C)O']","[1, 1]",0
180,"['C(=O)CCCCCCCCC(=O)', 'OCC(C)O']","[1, 1]",0
181,"['C(=O)CCCCCCCCC(=O)', 'OCCO']","[1, 1]",0
182,"['C(=O)CSCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",1
183,"['C(=O)CCCCCO', 'C(=O)CCCCCO']","[2, 1]",0
184,"['C(=O)CCCCCCCCCCCCCCO', 'C(=O)CCCCC(CCCC)O']","[2, 1]",0
185,"['C(=O)CCCCCO', 'C(=O)CCCCCCCCCCCCCCO']","[2, 1]",0
186,"['C(=O)CCCCCCCCCCCCCCO', 'C(=O)CCCCCO']","[2, 1]",0
187,"['C(=O)CCCCO', 'C(=O)CCCCCO']","[2, 1]",1
188,"['C(=O)CC(C)O', 'C(=O)CCCCCCCCCCCCCCO']","[2, 1]",0
189,"['C(=O)CCCC(CCCCCCC)O', 'C(=O)CCCC(CCCCCCC)O']","[2, 1]",1
190,"['C(=O)C(C)OC(=O)C(C)O', 'C(=O)CCCC(CCCCCCC)O']","[2, 1]",1
191,"['C(=O)C(C)OC(=O)C(C)O', 'C(=O)CCCCCCCCCCCCCCCO']","[2, 1]",1
192,"['C(=O)CCCC(CCCC)O', 'C(=O)C(C)OC(=O)C(C)O']","[2, 1]",1
193,"['C(=O)COC(=O)CO', 'C(=O)CCCC(CCCC)O']","[2, 1]",1
194,"['C(=O)COC(=O)CO', 'C(=O)CCCC(CCCCCCC)O']","[2, 1]",1
195,"['C(=O)COC(=O)CO', 'C(=O)CCCCCCCCCCCCCCCO']","[2, 1]",1
196,"['C(=O)CCCCC(CCCC)O', 'C(=O)COC(=O)CO']","[2, 1]",1
197,"['C(=O)CC(C)O', 'C(=O)COC(=O)CO']","[2, 1]",1
198,"['C(=O)CCCCC(CCCC)O', 'C(=O)CCCCCCCCCCCCCCCO']","[2, 1]",0
199,"['C(=O)CCCCCO', 'C(=O)COC(=O)CO']","[2, 1]",1
200,"['C(=O)CCCCO', 'C(=O)COC(=O)CO']","[2, 1]",0
201,"['C(=O)COC(=O)CO', 'C(=O)C(C)OC(=O)C(C)O']","[2, 1]",1
202,"['C(=O)CCCCCCCCC(=O)', 'OC(C)(C)C#CC(C)(C)O']","[1, 1]",0
203,"['C(=O)CCCCC(=O)', 'OCCSCCO']","[1, 1]",1
204,"['C(=O)CCCCC(=O)', 'OC(CS1)SCC1O']","[1, 1]",0
205,"['C(=O)', 'OCC(C)(C)CO']","[1, 1]",0
206,"['C(=O)COCC(=O)', 'OCCO']","[1, 1]",1
207,"['C(=O)COCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
208,"['C(=O)CN(C)CC(=O)', 'OCCCCO']","[1, 1]",1
209,"['C(=O)CN(C)CC(=O)', 'OCCCCCCO']","[1, 1]",0
210,"['C(=O)CSCC(=O)', 'OCCCCO']","[1, 1]",1
211,"['C(=O)CCCCC(=O)', 'OCC(C)CO']","[1, 1]",1
212,"['C(=O)CCCCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
213,"['C(=O)CCCCC(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",0
214,"['C(=O)CCCCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
215,"['C(=O)CCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
