Name,SMILES_List,Ratio_List,Biodegradability
DW_17-2,"['C(=O)COCC(=O)', 'OCC(C)CO']","[1, 1]",1
DW_17-3,"['C(=O)COCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
DW_17-4,"['C(=O)COCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
DW_17-5,"['C(=O)COCC(=O)', 'OCC(C)(C)CO']","[1, 1]",1
DW_17-6,"['C(=O)COCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",1
DW_18-1,"['C(=O)c(cc1)ccc1C(=O)', 'OCCO']","[1, 1]",0
DW_18-2,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCO']","[1, 1]",0
DW_18-4,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(C)CO']","[1, 1]",0
DW_18-5,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
DW_18-6,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
DW_18-8,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",0
DW_19-1,"['C(=O)C(CC1)CCC1C(=O)', 'OCCO']","[1, 1]",0
DW_19-10,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)(C)CO']","[1, 1]",0
DW_19-11,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)CO']","[1, 1]",1
DW_19-2,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCCO']","[1, 1]",0
DW_19-3,"['C(=O)C(CC1)CCC1C(=O)', 'OCCC(C)CCO']","[1, 1]",0
DW_19-4,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
DW_19-5,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
DW_19-6,"['C(=O)C(CC1)CCC1C(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
DW_19-7,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
DW_3-1,"['C(=O)CCCCCCCC(=O)', 'OCCO']","[1, 1]",0
DW_3-2,"['C(=O)CCCCCCCC(=O)', 'OCCCO']","[1, 1]",0
DW_3-3,"['C(=O)CCCCCCCC(=O)', 'OCCCCO']","[1, 1]",0
DW_3-4,"['C(=O)CCCCCCCC(=O)', 'OCCCCCO']","[1, 1]",0
DW_3-5,"['C(=O)CCCCCCCC(=O)', 'OCCC(C)CCO']","[1, 1]",0
DW_3-6,"['C(=O)CCCCCCCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
DW_5-1,"['C(=O)CCC(=O)', 'OCCO']","[1, 1]",0
DW_5-10,"['C(=O)CCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
DW_5-11,"['C(=O)CCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
DW_5-2,"['C(=O)CCC(=O)', 'OCCCO']","[1, 1]",1
DW_5-3,"['C(=O)CCC(=O)', 'OCCCCO']","[1, 1]",0
DW_5-4,"['C(=O)CCC(=O)', 'OCCCCCO']","[1, 1]",1
DW_5-5,"['C(=O)CCC(=O)', 'OCCCCCCO']","[1, 1]",0
DW_5-7,"['C(=O)CCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
DW_5-9,"['C(=O)CCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
DW_6-1,"['C(=O)CCCC(=O)', 'OCCO']","[1, 1]",1
DW_6-10,"['C(=O)CCCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
DW_6-11,"['C(=O)CCCCCCCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
DW_6-2,"['C(=O)CCCC(=O)', 'OCCCO']","[1, 1]",1
DW_6-3,"['C(=O)CCCC(=O)', 'OCCCCO']","[1, 1]",1
DW_6-4,"['C(=O)CCCC(=O)', 'OCCCCCO']","[1, 1]",1
DW_6-5,"['C(=O)CCCC(=O)', 'OCCCCCCO']","[1, 1]",1
DW_6-6,"['C(=O)CCCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
DW_6-8,"['C(=O)CCCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
DW_6-9,"['C(=O)CCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
