Polymer_Name_P,Mn,Mw,D,THF Soluble,DMF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3
SCA50_TPG25_BPA25_P,,,,,,,T2_G3,18,"solid (elastic, opaque)",Y,N,No Growth,20231115,P,Y,2:1.8:0.2,2,1.8,0.2
SUA25_AZA25_NND50_P,,,,,,,T2_J8,21,,Y,Y,Distributed,20231209,,,1.5:0.5:2,1.5,0.5,2
SUA25_EBA25_BND50_P,,,,,,,T2_A4,12,"solid (waxy, opaque)",Y,Y,Clear Zone,20231018,Y,Y,1.1:0.9:2,1.1,0.9,2
SUA25_EBA25_CHM50_P,,,,,,,T2_I3,20,,Y,Y,Distributed,20231115,,,1.1:0.9:2,1.1,0.9,2
SUA25_EBA25_NND50_P,,,,,,,T3_B4,23,,Y,Y,Distributed,20231209,P,,1.1:0.9:2,1.1,0.9,2
SUA25_EBA25_OTD50_P,,,,,,,T3_C9,24,,Y,Y,Distributed,20231209,P,,1.1:0.9:2,1.1,0.9,2
SUA25_SBA25_BTD50_P,,,,,,,T1_C6,4,viscous,Y,Y,Distributed,20232018,Y,Y,1.0:1.0:2,1,1,2
SUA50_BTD25_BND25_P,,,,,,,T1_C1,3,viscous,Y,Y,Distributed,20231018,Y,Y,2:0.7:1.3,2,0.7,1.3
SUA50_CHM25_BPA25_P,,,,,,,T2_H6,19,"solid (elastic, opaque)",Y,N,No Growth,20231115,P,,2:1.4:0.6,2,1.4,0.6
SUA50_CHM25_TEG25_P,,,,,,,T2_H3,19,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,P,,2:1.2:0.8,2,1.2,0.8
SUA50_DEG25_DCD25_P,,,,,,,T2_F2,17,"solid (waxy, opaque)",Y,Y,Distributed,20231115,P,Y,2:0.9:1.1,2,0.9,1.1
SUA50_DMD25_DPG25_P,,,,,,,T1_G3,8,viscous,Y,Y,Distributed,20231018,P,Y,2:1.0:1.0,2,1,1
SUA50_DPD25_CHM25_P,,,,,,,T2_D4,16,"solid (waxy, opaque)",Y,Y,Distributed,20231115,Y,Y,2:1.1:0.9,2,1.1,0.9
SUA50_DPG25_CHM25_P,,,,,,,T2_B3,14,viscous,Y,Y,Distributed,20231018,Y,Y,2:0.9:1.1,2,0.9,1.1
SUA50_DPG25_TPG25_P,,,,,,,T2_A7,13,viscous,Y,Y,Clear Zone,20231018,Y,Y,Unresolvable,2,1,1
SUA50_ETG25_CHD25_P,,,,,,,T1_E8,6,"solid (waxy, opaque)",Y,Y,Distributed,20230910,,Y,2:0.9:1.1,2,0.9,1.1
SUA50_MRD25_BPA25_P,5837,10850,1.858,N,,,T1_A1,1,viscous,Y,Y,Color Interference,20230910,Y,Y,2:1.6:0.4,2,1.6,0.4
SUA50_MRD25_DPD25_P,10940,16980,1.552,Y,,,T1_A6,1,viscous,Y,Y,Distributed,20230910,Y,Y,2:1.2:0.8,2,1.2,0.8
SUA50_MRD25_PTD25_P,10910,16590,1.521,Y,,,T1_A4,1,viscous,Y,Y,Clear Zone,20230910,Y,Y,2:1.1:0.9,2,1.1,0.9
SUA50_PPD25_NND25_P,,,,,,,T1_H8,10,"solid (waxy, opaque)",Y,N,NA,20231018,Y,Y,2:1.1:0.9,2,1.1,0.9
SUA50_PRD25_GGE25_P,,,,,,,T1_D8,5,viscous,Y,Y,Distributed,20231018,,,2:0.9:1.1,2,0.9,1.1
SUA50_TPD25_PTD25_P,,,,,,,T2_C2,15,viscous,Y,N,No Growth,20231115,Y,Y,2:0.9:1.1,2,0.9,1.1
SUA50_TPG25_OTD25_P,,,,,,,T2_G5,18,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,P,,2:0.7:1.3,2,0.7,1.3
