Polymer_Name_P,Mn,Mw,D,THF Soluble,DMF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3
DGA50_BTD25_DMD25_P,,,,,,,T1_C3,3,"solid(elastic, slightly opaque)",Y,Y,Distributed,20230910,Y,,2:0.8:1.2,2,0.8,1.2
DGA50_BTD25_GGE25_P,,,,,,,T1_B3,2,solid (glassy),Y,Y,Clear Zone - double degradation,20230910,Y,Y,2:1.2:0.8,2,1.2,0.8
DGA50_DEG25_BED25_P,,,,,,,T2_E10,17,"solid (elastic, clear)",Y,Y,Clear Zone,20231115,P,Y,2:1.0:1.0,2,1,1
DGA50_DEG25_OTD25_P,,,,,,,T2_F1,17,"solid (elastic, clear)",Y,Y,Clear Zone,20231209,P,Y,2:1.0:1.0,2,1,1
DGA50_DMD25_OTD25_P,,,,,,,T1_G4,8,"solid (elastic, clear)",Y,Y,Clear Zone,20231018,Y,Y,2:1.0:1.0,2,1,1
DGA50_DPD25_BED25_P,,,,,,,T2_D7,16,"solid (elastic, clear)",Y,Y,Distributed,20231115,,Y,2:1.0:1.0,2,1,1
DGA50_ETG25_BED25_P,,,,,,,T1_E4,6,"solid(elastic, opaque)",Y,Y,Clear Zone,20231209,Y,,2:0.6:1.4,2,0.6,1.4
DGA50_GGE25_BPA25_P,,,,,,,T3_C10,24,,Y,Y,Distributed,20231209,P,,2:1.3:0.7,2,1.3,0.7
DGA50_MRD25_BND25_P,,,,,,,T1_A8,2,"solid (elastic, lightly opaque)",Y,Y,Clear Zone,20230910,Y,Y,2:1.1:0.9,2,1.1,0.9
DGA50_NND25_CHD25_P,,,,,,,T2_J5,21,,Y,Y,Clear Zone,20231115,,,2:1.1:0.9,2,1.1,0.9
DGA50_PRD25_DPD25_P,,,,,,,T1_C9,4,"solid (elastic, clear)",Y,Y,Clear Zone,20231018,Y,Y,2:0.9:1.1,2,0.9,1.1
DGA50_PRD25_DPG25_P,,,,,,,T1_D4,5,"solid(elastic, opaque)",Y,Y,Clear Zone,20240321,P,,Unresolvable,2,1,1
DGA50_PRD25_GGE25_P,,,,,,,T1_D9,5,"solid (elastic, clear)",Y,Y,Clear Zone,20231018,,,2:1.1:0.9,2,1.1,0.9
DGA50_PTD25_HND25_P,,,,,,,T2_E2,16,"solid (elastic, opaque)",Y,Y,Clear Zone,20231115,P,Y,2:1.0:1.0,2,1,1
DGA50_PTD25_TEG25_P,,,,,,,T2_E5,17,"solid (elastic, opaque)",Y,Y,Clear Zone,20231115,P,Y,2:1.1:0.9,2,1.1,0.9
DGA50_TPD25_BED25_P,,,,,,,T2_C5,15,"solid (elastic, opaque)",Y,Y,Distributed,20231115,Y,Y,2:1.0:1.0,2,1,1
DGA50_TPD25_MPD25_P,,,,,,,T2_C1,14,viscous,Y,Y,Clear Zone,20231115,Y,Y,2:0.9:1.1,2,0.9,1.1
EBA25_AZA25_BPA50_P,,,,,,,T3_D2,25,,Y,Y,Color Interference,20240311,Y,Y,0.9:1.1:2,0.9,1.1,2
EBA25_SBA25_BPA50_P,,,,,,,T3_D4,25,,Y,Y,Color Interference,20240311,Y,Y,0.9:1.1:2,0.9,1.1,2
EBA25_SBA25_PPD50_P,,,,,,,T1_J2,11,"solid (waxy, opaque)",Y,Y,Clear Zone,20231018,,Y,0.9:1.1:2,0.9,1.1,2
EBA50_CHM25_BED25_P,,,,,,,T2_H5,19,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,P,,2:1.0:1.0,2,1,1
EBA50_DMD25_DPG25_P,,,,,,,T1_G6,8,viscous,Y,Y,Clear Zone,20231115,Y,,2:1.1:0.9,2,1.1,0.9
EBA50_DMD25_GGE25_P,,,,,,,T1_G8,9,"solid (elastic, clear)",Y,Y,Clear Zone,20231018,Y,Y,2:0.9:1.1,2,0.9,1.1
EBA50_DMD25_TEG25_P,,,,,,,T1_G7,9,viscous,Y,Y,Clear Zone,20231115,Y,Y,2:1.6:0.4,2,1.6,0.4
EBA50_DPD25_CHM25_P,,,,,,,T2_D3,16,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,Y,Y,2:1.0:1.0,2,1,1
EBA50_HND25_MPD25_P,,,,,,,T2_F6,18,viscous,Y,Y,Clear Zone,20231209,P,Y,2:1.0:1.0,2,1,1
EBA50_MPD25_BED25_P,,,,,,,T3_B1,23,,Y,Y,Distributed,20231209,P,,2:1.0:1.0,2,1,1
EBA50_MRD25_PRD25_P,10040,14470,1.441,Y,,,T1_A2,1,viscous,Y,Y,Clear Zone,20230910,Y,Y,2:1.6:0.4,2,1.6,0.4
EBA50_NND25_BED25_P,,,,,,,T3_B2,23,,Y,Y,Distributed,20231209,P,,2:0.8:1.2,2,0.8,1.2
EBA50_NND25_GGE25_P,,,,,,,T3_B3,23,,Y,Y,Clear Zone,20231209,P,,2:1.5:0.5,2,1.5,0.5
EBA50_PPD25_MPD25_P,,,,,,,T1_I4,10,viscous,Y,Y,Clear Zone,20231018,Y,Y,2:1.0:1.0,2,1,1
EBA50_PRD25_TPD25_P,,,,,,,T1_C8,4,viscous,Y,Y,Clear Zone,20231115,Y,,2:0.5:1.5,2,0.5,1.5
EBA50_PTD25_NND25_P,,,,,,,T2_E1,16,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,P,Y,2:1.0:1.0,2,1,1
EBA50_TEG25_MPD25_P,,,,,,,T3_A10,23,,Y,Y,Clear Zone,20231209,P,,2:0.9:1.1,2,0.9,1.1
EBA50_TPG25_MPD25_P,,,,,,,T2_G4,18,viscous,Y,Y,Clear Zone,20231115,P,Y,2:0.9:1.1,2,0.9,1.1
GLA25_ADA25_PTD50_P,,,,,,,T2_E6,17,viscous,Y,Y,Clear Zone,20231115,P,Y,2:1.0:1.0,2,1,1
GLA25_AZA25_BED50_P,,,,,,,T3_A5,22,,Y,Y,Distributed,20231209,P,,1.0:1.0:2,1,1,2
GLA25_AZA25_CHM50_P,,,,,,,T2_I2,20,,Y,Y,Distributed,20231115,,,1.0:1.0:2,1,1,2
GLA25_AZA25_PPD50_P,,,,,,,T1_J1,11,"solid (waxy, opaque)",Y,Y,Clear Zone,20231018,Y,Y,1.0:1.0:2,1,1,2
GLA25_CCD25_BND50_P,,,,,,,T2_A3,12,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,Y,Y,1.0:1.0:2,1,1,2
GLA25_DGA25_DEG50_P,,,,,,,T2_F5,18,viscous,Y,Y,Clear Zone,20231115,P,Y,1.0:1.0:2,1,1,2
GLA25_DGA25_PTD50_P,,,,,,,T2_E7,17,viscous,Y,Y,Clear Zone,20231115,P,Y,1.0:1.0:2,1,1,2
GLA25_DGA25_TPD50_P,,,,,,,T2_C7,15,viscous,Y,Y,Distributed,20231115,Y,Y,1.0:1.0:2,1,1,2
GLA25_EBA25_CHD50_P,,,,,,,T3_B7,23,,Y,Y,Distributed,20231209,P,,1.0:1.0:2,1,1,2
GLA25_EBA25_DCD50_P,,,,,,,T3_C1,24,,Y,Y,Distributed,20231209,P,,1.1:0.9:2,1.1,0.9,2
GLA25_EBA25_MRD50_P,,,,,,,T1_B1,2,viscous,Y,Y,Clear Zone,20230910,Y,Y,1.1:0.9:2,1.1,0.9,2
GLA25_SBA25_BPA50_P,,,,,,,T3_D3,25,,Y,Y,Color Interference,20240311,Y,Y,1.1:0.9:2,1.1,0.9,2
GLA25_SBA25_MPD50_P,,,,,,,T2_J3,21,,Y,Y,Distributed,20231115,,,2:1.0:1.0,2,1,1
GLA25_SUA25_BPA50_P,,,,,,,T3_D5,25,,Y,N,No Growth,20240311,Y,Y,1.7:0.3:2,1.7,0.3,2
GLA50_BTD25_DMD25_P,,,,,,,T1_C4,3,viscous,Y,Y,Distributed,20230910,Y,Y,2:1.3:0.7,2,1.3,0.7
GLA50_DCD25_BPA25_P,,,,,,,T3_B9,23,,Y,Y,Color Interference,20231209,P,,2:1.1:0.9,2,1.1,0.9
GLA50_DCD25_OTD25_P,,,,,,,T3_B10,23,,Y,Y,Distributed,20231209,P,,2:1.0:1.0,2,1,1
GLA50_DMD25_HND25_P,,,,,,,T1_F10,8,"solid (elastic, opaque)",Y,Y,Clear Zone,20231115,P,Y,2:1.0:1.0,2,1,1
GLA50_DPD25_PTD25_P,,,,,,,T2_D1,15,viscous,Y,Y,Clear Zone,20231115,Y,Y,2:1.0:1.0,2,1,1
GLA50_DPG25_DEG25_P,,,,,,,T2_B2,13,viscous,Y,Y,Clear Zone,20231018,Y,Y,2:1.0:1.0,2,1,1
GLA50_DPG25_GGE25_P,,,,,,,T2_A10,13,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,Y,Y,2:1.2:0.8,2,1.2,0.8
GLA50_DPG25_TPG25_P,,,,,,,T2_A8,13,viscous,Y,Y,Clear Zone,20231018,Y,Y,2:1.0:1.0,2,1,1
GLA50_ETG25_BND25_P,,,,,,,T1_E3,6,viscous,Y,Y,Clear Zone,20230910,Y,Y,2:1.0:1.0,2,1,1
GLA50_ETG25_TPG25_P,,,,,,,T1_E7,6,viscous,Y,Y,Clear Zone,20230910,Y,Y,2:0.9:1.1,2,0.9,1.1
GLA50_HND25_BED25_P,,,,,,,T2_F10,18,viscous,Y,Y,Clear Zone,20231115,P,Y,2.0:2.0:0,2,2,0
GLA50_HND25_GGE25_P,,,,,,,T2_G2,18,"solid (waxy, opaque)",Y,N,No Growth,20231209,P,Y,2:1.0:1.0,2,1,1
GLA50_HND25_OTD25_P,,,,,,,T2_F9,18,"solid (waxy, opaque)",Y,Y,Distributed,20231115,P,Y,2:1.0:1.0,2,1,1
GLA50_MRD25_BTD25_P,10690,17750,1.66,Y,,,T1_A3,1,viscous,Y,Y,Clear Zone,20230910,Y,Y,2:1.7:0.3,2,1.7,0.3
GLA50_PPD25_MPD25_P,,,,,,,T1_I7,11,viscous,Y,Y,Clear Zone,20231018,Y,Y,2:1.0:1.0,2,1,1
GLA50_PPD25_TPD25_P,,,,,,,T1_I5,10,viscous,Y,Y,Clear zone,20231018,Y,Y,2:1.1:0.9,2,1.1,0.9
GLA50_PRD25_GGE25_P,,,,,,,T1_D5,5,"solid (elastic, clear)",Y,Y,Clear Zone,20230910,P,Y,2:0.9:1.1,2,0.9,1.1
GLA50_PTD25_OTD25_P,,,,,,,T2_E3,16,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,P,Y,2:0.9:1.1,2,0.9,1.1
GLA50_TPD25_BPA25_P,,,,,,,T2_B8,14,viscous,Y,N,No Growth,20231115,Y,Y,2:1.0:1.0,2,1,1
GLA50_TPD25_HND25_P,,,,,,,T2_C4,15,viscous,Y,Y,Clear Zone,20231115,Y,Y,2:0.9:1.1,2,0.9,1.1
GLA50_TPD25_TEG25_P,,,,,,,T2_B7,14,viscous,Y,Y,Clear Zone,20231115,Y,Y,2:0.8:1.2,2,0.8,1.2
SBA50_BED25_CHD25_P,,,,,,,T2_J9,22,,Y,Y,Distributed,20231209,P,,2:1.1:0.9,2,1.1,0.9
SBA50_BND25_BPA25_P,,,,,,,T1_J7,12,"solid (waxy, opaque)",Y,Y,Color Interference,20231018,Y,Y,2:1.4:0.6,2,1.4,0.6
SBA50_BND25_CHM25_P,,,,,,,T1_J5,11,"solid (waxy, opaque)",Y,N,NA,20231018,Y,Y,2:0.9:1.1,2,0.9,1.1
SBA50_BTD25_TPD25_P,,,,,,,T1_B6,2,viscous,Y,N,NA,20230910,Y,Y,2:1.0:1.0,2,1,1
