Number of Estimators,Max Depth,Min Samples Split,Min Samples Leaf,Max Leaf Nodes,Mean Cross Val Score,STD,Test Evaluation Score
16,1,2,1,2,0.6812844036697248,0.028411349505828843,0.6363636363636364
8,64,2,1,2,0.6557631359466223,0.047688851695973644,0.6363636363636364
8,8,2,1,64,0.7069557964970808,0.0058997352633608354,0.7363636363636363
32,16,2,1,256,0.7142285237698082,0.02610440009007164,0.7454545454545455
32,2,2,1,256,0.6794662218515429,0.025521943658702164,0.6545454545454545
8,64,2,1,4,0.69232693911593,0.03900756956071331,0.7090909090909091
16,1,2,1,4,0.6575312760633862,0.021774651594187188,0.6454545454545455
16,4,2,1,64,0.6977981651376147,0.010110075092811656,0.6818181818181818
16,32,2,1,4,0.6867389491242702,0.029911750013587573,0.7545454545454545
8,8,2,1,128,0.6886572143452877,0.025768102108193518,0.7454545454545455
16,128,2,1,512,0.7308090075062552,0.027752854708592564,0.7727272727272727
8,64,2,1,8,0.7051042535446206,0.019041903046999088,0.7
16,1,2,1,8,0.6538949124270225,0.021913237624170388,0.6545454545454545
8,8,2,1,256,0.694278565471226,0.043177660122729535,0.6818181818181818
8,64,2,1,16,0.6904920767306089,0.013050345283782268,0.7
16,4,2,1,128,0.7032026688907422,0.02779653231587379,0.6818181818181818
16,32,2,1,8,0.6995996663886572,0.01734798229186873,0.7181818181818181
16,256,2,1,2,0.6666555462885738,0.026446059441156407,0.6363636363636364
16,1,2,1,16,0.6721100917431194,0.032964261534377794,0.6181818181818182
32,2,2,1,512,0.6941284403669725,0.025128907619478884,0.7090909090909091
8,8,2,1,512,0.6942118432026689,0.02725165672912233,0.7454545454545455
8,64,2,1,32,0.6885237698081734,0.03611570450884498,0.6818181818181818
8,16,2,1,2,0.6502752293577981,0.03536289675345794,0.6545454545454545
16,1,2,1,32,0.6684570475396164,0.044234348059183144,0.6363636363636364
16,256,2,1,4,0.6996330275229358,0.03908558372313938,0.7272727272727273
16,4,2,1,256,0.7032360300250209,0.025638330140004318,0.7454545454545455
16,32,2,1,16,0.699699749791493,0.028444822927410962,0.6818181818181818
32,16,2,1,512,0.7088073394495413,0.022529241068874592,0.7363636363636363
8,64,2,1,64,0.6922935779816515,0.04176720748678326,0.6636363636363637
16,1,2,1,64,0.6501417848206839,0.046838557294862034,0.6545454545454545
32,4,2,1,2,0.6776647206005004,0.019401901837513152,0.6727272727272727
16,256,2,1,8,0.7014512093411176,0.02378847722441137,0.6818181818181818
16,4,2,1,512,0.6959633027522936,0.024954128440366968,0.7090909090909091
16,1,2,1,128,0.6593327773144286,0.025630688804422933,0.6727272727272727
8,64,2,1,128,0.6941284403669725,0.009632590641032415,0.6909090909090909
16,32,2,1,32,0.6959799833194329,0.015559527164215279,0.7
16,1,2,1,256,0.6521100917431193,0.03789957004121528,0.6727272727272727
16,8,2,1,2,0.6631359466221852,0.038098210855257775,0.6181818181818182
8,64,2,1,256,0.7013678065054212,0.033331245994342375,0.7454545454545455
32,32,2,1,2,0.6739449541284405,0.03146989588920122,0.6727272727272727
16,256,2,1,16,0.7123936613844871,0.03599856532825068,0.7090909090909091
32,128,2,1,512,0.7160800667222686,0.021362616799470262,0.7454545454545455
16,1,2,1,512,0.6647873227689741,0.033554336307682356,0.6272727272727273
32,4,2,1,4,0.6922935779816515,0.027101358440567713,0.6909090909090909
8,64,2,1,512,0.6959633027522937,0.009166969538933409,0.6909090909090909
16,8,2,1,4,0.6794161801501251,0.032388850977061685,0.7181818181818181
16,32,2,1,64,0.6977648040033361,0.0256850620506748,0.7272727272727273
8,128,2,1,2,0.6739115929941619,0.03525998870554303,0.6818181818181818
16,2,2,1,2,0.6337114261884904,0.031612310940837135,0.6909090909090909
16,256,2,1,32,0.7161467889908257,0.014720125592757127,0.7272727272727273
8,128,2,1,4,0.6776480400333611,0.033080554891152796,0.7
32,32,2,1,4,0.6904753961634695,0.02200029588235957,0.6909090909090909
16,8,2,1,8,0.7050708924103419,0.02340542145759335,0.7
32,256,2,1,2,0.664837364470392,0.033083902309089294,0.6818181818181818
16,2,2,1,4,0.7124103419516263,0.03493981210135945,0.7090909090909091
32,4,2,1,8,0.7069391159299416,0.027408684439863162,0.7
16,32,2,1,128,0.7087739783152627,0.01803140760768965,0.7272727272727273
16,2,2,1,8,0.6941284403669725,0.04254190861634546,0.7272727272727273
16,8,2,1,16,0.7179316096747289,0.011082225349039614,0.7363636363636363
16,256,2,1,64,0.7014011676396998,0.01795625670019763,0.7545454545454545
32,256,2,1,4,0.6959799833194329,0.027942334928644605,0.7
64,4,2,1,2,0.6465054211843203,0.014040004724513038,0.6272727272727273
32,32,2,1,8,0.7050875729774813,0.03434171893376191,0.7
16,32,2,1,256,0.6940617180984153,0.029465285826929286,0.7363636363636363
16,8,2,1,32,0.6922935779816515,0.020772068547647567,0.7454545454545455
32,4,2,1,16,0.7160633861551294,0.016194210720827842,0.7090909090909091
16,256,2,1,128,0.7033194328607173,0.0202198749718281,0.7454545454545455
64,32,2,1,4,0.6996163469557966,0.018040139397715024,0.7090909090909091
16,32,2,1,512,0.6923269391159299,0.019414059137423223,0.6909090909090909
16,8,2,1,64,0.723419516263553,0.01614696130981463,0.7181818181818181
32,256,2,1,8,0.7307589658048373,0.034196073951932277,0.7272727272727273
16,256,2,1,256,0.6996497080900752,0.020974737037908475,0.7272727272727273
32,32,2,1,16,0.7179316096747289,0.021435664580169184,0.6818181818181818
16,64,2,1,2,0.6575145954962469,0.03253478662978984,0.6454545454545455
32,4,2,1,32,0.7178815679733112,0.022738103333305087,0.7545454545454545
16,8,2,1,128,0.6977981651376147,0.010110075092811656,0.7454545454545455
64,4,2,1,4,0.7033027522935781,0.017842562614522158,0.7181818181818181
16,64,2,1,4,0.6776647206005004,0.010348729248907665,0.7363636363636363
16,256,2,1,512,0.71604670558799,0.024621308168679953,0.7090909090909091
32,256,2,1,16,0.7307589658048375,0.022271674367069283,0.7090909090909091
16,8,2,1,256,0.7014011676396997,0.02695243127161893,0.7
16,64,2,1,8,0.71604670558799,0.037606137922857816,0.6909090909090909
32,4,2,1,64,0.728907422852377,0.017439100169373282,0.6818181818181818
32,1,2,1,2,0.6776814011676398,0.024507471624044284,0.6818181818181818
32,32,2,1,32,0.6977814845704755,0.01674130725957452,0.7090909090909091
64,32,2,1,8,0.7160967472894079,0.026144361283620486,0.7
16,8,2,1,512,0.7087572977481236,0.020033354189828094,0.7454545454545455
16,64,2,1,16,0.7215679733110927,0.015609089703857893,0.7272727272727273
32,1,2,1,4,0.6648206839032527,0.03616085350724177,0.7
16,16,2,1,2,0.6484236864053378,0.044137095852877305,0.6727272727272727
32,4,2,1,128,0.7270725604670559,0.02521457393274116,0.7272727272727273
32,256,2,1,32,0.7014345287739784,0.013081266177991855,0.7272727272727273
16,64,2,1,32,0.7032527105921602,0.01566020113298893,0.7363636363636363
64,4,2,1,8,0.71604670558799,0.02595271113772952,0.7272727272727273
32,1,2,1,8,0.6794662218515429,0.03248655113867765,0.6818181818181818
16,16,2,1,4,0.6904253544620518,0.05324923002648654,0.6636363636363637
32,32,2,1,64,0.7179482902418682,0.010660226682189751,0.7454545454545455
16,16,2,1,8,0.7014178482068392,0.02920766829772918,0.6909090909090909
16,64,2,1,64,0.714278565471226,0.03255944159503077,0.7090909090909091
32,4,2,1,256,0.7288907422852378,0.018587691191779037,0.7181818181818181
32,1,2,1,16,0.6758298582151794,0.02926963789224255,0.6727272727272727
16,16,2,1,16,0.7050875729774813,0.025311627044402,0.7272727272727273
32,256,2,1,64,0.7179316096747289,0.013789493034488997,0.7181818181818181
32,1,2,1,32,0.6685237698081734,0.022341600676621203,0.7
16,64,2,1,128,0.706955796497081,0.013018282340631309,0.6909090909090909
64,32,2,1,16,0.7215679733110927,0.017634570616955975,0.7363636363636363
32,4,2,1,512,0.7160800667222686,0.013675664469257422,0.6909090909090909
32,32,2,1,128,0.6996163469557966,0.016065871592530066,0.7
64,4,2,1,16,0.7178482068390325,0.031642116967818164,0.7181818181818181
32,1,2,1,64,0.6593327773144286,0.015903641464181134,0.6454545454545455
16,64,2,1,256,0.6885904920767307,0.023120156630943696,0.7363636363636363
32,8,2,1,2,0.6758632193494579,0.02374680126790363,0.6727272727272727
32,1,2,1,128,0.6721601334445372,0.04545772536336273,0.6272727272727273
32,256,2,1,128,0.7087572977481236,0.01148902442550296,0.7454545454545455
64,256,2,1,8,0.7068890742285239,0.03762322533185867,0.7272727272727273
16,64,2,1,512,0.6959799833194328,0.035385235303637956,0.7363636363636363
32,32,2,1,256,0.7106255212677232,0.03408969271409115,0.7181818181818181
32,1,2,1,256,0.6630191826522103,0.023947020953820827,0.6545454545454545
16,128,2,1,2,0.6519933277731443,0.02554456627306432,0.6727272727272727
32,8,2,1,4,0.695929941618015,0.03385893817696521,0.6818181818181818
16,128,2,1,4,0.6922935779816515,0.04054007920628692,0.7363636363636363
64,4,2,1,32,0.717881567973311,0.02486006722412566,0.7090909090909091
32,1,2,1,512,0.6666388657214345,0.030197816186883476,0.6636363636363637
64,32,2,1,32,0.6959633027522936,0.03407908041466101,0.7090909090909091
32,256,2,1,256,0.7141951626355295,0.03833564506087135,0.7181818181818181
16,128,2,1,8,0.7105921601334446,0.02725627129002201,0.6727272727272727
32,8,2,1,8,0.7069224353628025,0.020576005264532807,0.6818181818181818
32,2,2,1,2,0.6630025020850709,0.02487438924209947,0.6636363636363637
32,32,2,1,512,0.6977814845704755,0.029770471341774296,0.7454545454545455
16,128,2,1,16,0.7124437030859049,0.0370371851023443,0.7090909090909091
64,256,2,1,16,0.7233861551292743,0.024760143013805008,0.7090909090909091
32,2,2,1,4,0.7069724770642202,0.0396669919027425,0.7272727272727273
32,8,2,1,16,0.7252043369474562,0.0259279765201642,0.7090909090909091
16,128,2,1,32,0.6959633027522936,0.02284090468931441,0.7272727272727273
32,64,2,1,2,0.67581317764804,0.033717446667089805,0.6818181818181818
32,256,2,1,512,0.7160633861551293,0.020750625521267746,0.7454545454545455
64,4,2,1,64,0.7160633861551293,0.026456115689367316,0.7272727272727273
32,2,2,1,8,0.7106255212677229,0.04083032139600539,0.7090909090909091
32,64,2,1,4,0.7088073394495413,0.030192268876442805,0.7181818181818181
64,1,2,1,2,0.6519599666388657,0.021706539370365326,0.6818181818181818
32,8,2,1,32,0.692276897414512,0.017502803926175373,0.7272727272727273
32,2,2,1,16,0.6849374478732276,0.028027204945928804,0.7
64,32,2,1,64,0.7069391159299416,0.01951657720213023,0.7636363636363637
32,64,2,1,8,0.7014845704753963,0.01760462978192479,0.7363636363636363
64,256,2,1,32,0.7087739783152627,0.012521807443869161,0.7181818181818181
64,4,2,1,128,0.7252877397831526,0.019889392333285665,0.6909090909090909
32,2,2,1,32,0.6995996663886572,0.03227430686588892,0.7
64,1,2,1,4,0.6702752293577982,0.025907321239960035,0.6727272727272727
32,8,2,1,64,0.7124603836530443,0.019641861842567353,0.7454545454545455
128,4,2,1,16,0.7124103419516263,0.02410629948365608,0.7090909090909091
32,2,2,1,64,0.7014512093411176,0.020765905945411795,0.7090909090909091
32,64,2,1,16,0.7106088407005839,0.019932433216220867,0.7363636363636363
64,1,2,1,8,0.6629858215179316,0.024414470367739995,0.6181818181818182
32,8,2,1,128,0.7032693911592995,0.03434003364786272,0.7090909090909091
64,4,2,1,256,0.7178982485404505,0.02603865916284949,0.7
64,32,2,1,128,0.7160633861551293,0.02377513950424975,0.7272727272727273
32,64,2,1,32,0.6977481234361969,0.025850035866969816,0.7454545454545455
64,1,2,1,16,0.6648040033361134,0.03132706433872801,0.6454545454545455
64,256,2,1,64,0.7216346955796497,0.014410851589066135,0.7090909090909091
32,8,2,1,256,0.7087572977481236,0.02315176189877896,0.7727272727272727
32,64,2,1,64,0.7160967472894079,0.024135575976895297,0.7090909090909091
64,4,2,1,512,0.714211843202669,0.028100968807569716,0.7090909090909091
64,1,2,1,32,0.6574812343619684,0.02468624752870877,0.6454545454545455
32,8,2,1,512,0.7070391993327773,0.029221840009806953,0.7272727272727273
128,4,2,1,32,0.7233861551292744,0.026084460537365975,0.7090909090909091
128,32,2,1,32,0.714278565471226,0.00707822329828235,0.7272727272727273
64,32,2,1,256,0.7197331109257716,0.03446794511387894,0.7454545454545455
32,16,2,1,2,0.6794829024186823,0.03762161308551579,0.6363636363636364
32,64,2,1,128,0.7014345287739784,0.022534230009612,0.7181818181818181
64,1,2,1,64,0.6647706422018349,0.029424236749212608,0.6545454545454545
64,8,2,1,2,0.6813177648040034,0.023481120073084602,0.6545454545454545
64,256,2,1,128,0.712443703085905,0.007663699551096737,0.7090909090909091
32,16,2,1,4,0.708790658882402,0.020412107539739117,0.7090909090909091
32,64,2,1,256,0.7161134278565471,0.019271968157707858,0.7454545454545455
64,1,2,1,128,0.6666555462885738,0.031660683150259716,0.6727272727272727
32,16,2,1,8,0.7161134278565471,0.02249616757570841,0.6909090909090909
64,8,2,1,4,0.6831359466221851,0.02233990687434787,0.7
64,1,2,1,256,0.6630025020850709,0.02487438924209947,0.6727272727272727
64,32,2,1,512,0.7197664720600502,0.01815808261641138,0.7727272727272727
32,64,2,1,512,0.7252043369474561,0.03176368939113981,0.7090909090909091
32,16,2,1,16,0.7178648874061718,0.03508230613025124,0.7090909090909091
128,4,2,1,64,0.7142452043369476,0.023929167457883337,0.7090909090909091
64,256,2,1,256,0.710625521267723,0.009206343354446556,0.7636363636363637
32,128,2,1,2,0.6721601334445372,0.02682753820208657,0.6545454545454545
64,8,2,1,8,0.7069557964970808,0.02723633731839973,0.7181818181818181
64,1,2,1,512,0.6647873227689742,0.022800962477429035,0.6727272727272727
32,16,2,1,32,0.7106255212677232,0.022107988482173404,0.7545454545454545
64,64,2,1,2,0.6684737281067555,0.023080143138826135,0.6545454545454545
32,128,2,1,4,0.6886071726438698,0.019775415606721664,0.6909090909090909
64,2,2,1,2,0.6794995829858216,0.029990639197185056,0.6272727272727273
128,32,2,1,64,0.7050875729774813,0.025968166345846717,0.7454545454545455
32,128,2,1,8,0.7069224353628023,0.028172880393800153,0.7181818181818181
