Polymer_Name_P,Mn,Mw,D,THF Soluble,Ordering,Crystalline,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,Ratio 1,Ratio 2,Ratio 3
CCD25_AZA25_BED50_P,,,,,206,NA,T3_A6,22,,Y,Y,Distributed,20231209,0.7,1.3,2
ADA25_CCD25_BED50_P,,,,,207,N,T3_A7,22,,Y,Y,Distributed,20231209,0.6,1.4,2
ADA50_CHD25_OTD25_P,,,,,208,N,T3_A8,22,,Y,Y,Distributed,20231209,2,0.9,1.1
TOA50_CHD25_DCD25_P,,,,,209,N,T3_A9,22,,Y,Y,Clear Zone,20231209,2,1,1
EBA50_TEG25_MPD25_P,,,,,210,NA,T3_A10,23,,Y,Y,Clear Zone,20231209,2,0.9,1.1
EBA50_MPD25_BED25_P,,,,,211,N,T3_B1,23,,Y,Y,Distributed,20231209,2,1,1
GLA50_DCD25_OTD25_P,,,,,212,Y,T3_B10,23,,Y,Y,Distributed,20231209,2,1,1
EBA50_NND25_BED25_P,,,,,213,N,T3_B2,23,,Y,Y,Distributed,20231209,2,0.8,1.2
EBA50_NND25_GGE25_P,,,,,214,N,T3_B3,23,,Y,Y,Clear Zone,20231209,2,1.5,0.5
SUA25_EBA25_NND50_P,,,,,215,Y,T3_B4,23,,Y,Y,Distributed,20231209,1.1,0.9,2
SCA25_EBA25_CHD50_P,,,,,216,N,T3_B5,23,,Y,Y,Clear Zone,20231209,1,1,2
SCA25_DGA25_CHD50_P,,,,,217,N,T3_B6,23,,Y,Y,Clear Zone,20231209,1,1,2
GLA25_EBA25_CHD50_P,,,,,218,N,T3_B7,23,,Y,Y,Distributed,20231209,1,1,2
SBA50_DCD25_GGE25_P,,,,,219,N,T3_B8,23,,Y,Y,Distributed,20231209,2,1.1,0.9
GLA50_DCD25_BPA25_P,,,,,220,N,T3_B9,23,,Y,Y,Color Interference,20231209,2,1.1,0.9
GLA25_EBA25_DCD50_P,,,,,221,N,T3_C1,24,,Y,Y,Distributed,20231209,1.1,0.9,2
DGA50_GGE25_BPA25_P,,,,,222,N,T3_C10,24,,Y,Y,Distributed,20231209,2,1.3,0.7
DGA25_SUA25_DCD50_P,,,,,223,Y,T3_C2,24,,Y,Y,Distributed,20231209,1,1,2
TOA25_SBA25_DCD50_P,,,,,224,Y,T3_C3,24,,Y,Y,Distributed,20231209,1,1,2
SCA25_CCD25_DCD50_P,,,,,225,N,T3_C4,24,,Y,Y,Distributed,20231209,1,1,2
ADA50_OTD25_BPA25_P,,,,,226,N,T3_C5,24,,Y,Y,Color Interference,20231209,2,1.2,0.8
TOA25_AZA25_OTD50_P,,,,,227,Y,T3_C6,24,,Y,Y,Distributed,20231209,1,1,2
SCA25_DGA25_OTD50_P,,,,,228,Y,T3_C7,24,,Y,Y,Clear Zone,20231209,1,1,2
DGA25_AZA25_OTD50_P,,,,,229,Y,T3_C8,24,,Y,Y,Distributed,20231209,1,1,2
SUA25_EBA25_OTD50_P,,,,,230,Y,T3_C9,24,,Y,Y,Distributed,20231209,1.1,0.9,2
DGA25_CCD25_GGE50_P,,,,,231,N,T3_D1,25,,Y,Y,Distributed,20231121,1,1,2
EBA25_AZA25_BPA50_P,,,,,232,N,T3_D2,25,,Y,Y,Distributed,20231121,0.9,1.1,2
GLA25_SBA25_BPA50_P,,,,,233,Y,T3_D3,25,,Y,Y,Hydrolysis,20231121,1.1,0.9,2
EBA25_SBA25_BPA50_P,,,,,234,Y,T3_D4,25,,Y,Y,Color Interference,20231121,0.9,1.1,2
GLA25_SUA25_BPA50_P,,,,,235,Y,T3_D5,25,,Y,N,No Growth,20231121,1.7,0.3,2
