Polymer_Name_P,Mn,Mw,D,THF Soluble,Ordering,Crystalline,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,Ratio 1,Ratio 2,Ratio 3
AZA50_DMD25_DPG25_P,,,,,54,NA,T1_F4,7,viscous,Y,Y,Clear Zone,20231209,2,1,1
SCA50_DMD25_OTD25_P,,,,,55,N,T1_F5,7,"solid(elastic, opaque)",Y,Y,Clear Zone,20231209,2,1,1
ADA50_DMD25_CHM25_P,,,,,56,N,T1_F6,7,"solid (waxy, opaque)",Y,Y,Distributed,20230910,2,0.7,1.3
GLA50_DMD25_HND25_P,,,,,57,N,T1_F10,8,"solid (elastic, opaque)",Y,Y,Clear Zone,20231115,2,1,1
CCD50_DMD25_BED25_P,,,,,58,N,T1_F7,8,"solid (elastic, clear)",Y,N,NA,20231018,2,1,1
TOA50_DMD25_DEG25_P,,,,,59,N,T1_F8,8,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,2,1,1
SCA50_DMD25_BED25_P,,,,,60,N,T1_F9,8,"solid (elastic, clear)",Y,N,NA,20231018,2,1,1
TOA50_DMD25_PPD25_P,,,,,61,N,T1_G1,8,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,2,1,1
SCA50_DMD25_GGE25_P,,,,,62,N,T1_G2,8,"solid (elastic, clear)",Y,Y,Distributed,20231018,2,1,1
SUA50_DMD25_DPG25_P,,,,,63,NA,T1_G3,8,viscous,Y,Y,Distributed,20231018,2,1,1
DGA50_DMD25_OTD25_P,,,,,64,N,T1_G4,8,"solid (elastic, clear)",Y,Y,Clear Zone,20231018,2,1,1
SBA50_DMD25_DPD25_P,,,,,65,NA,T1_G5,8,viscous,Y,N,NA,20231018,2,1,1
EBA50_DMD25_DPG25_P,,,,,66,NA,T1_G6,8,viscous,Y,Y,Clear Zone,20231115,2,1.1,0.9
ADA50_DMD25_DPD25_P,,,,,67,NA,T1_G10,9,viscous,Y,N,NA,20231018,2,1,1
EBA50_DMD25_TEG25_P,,,,,68,NA,Revisions_14,,,Y,Y,Clear Zone,Revision,2,0.9,1.1
EBA50_DMD25_GGE25_P,,,,,69,N,T1_G8,9,"solid (elastic, clear)",Y,Y,Clear Zone,20231018,2,0.9,1.1
AZA50_DMD25_TPD25_P,,,,,70,NA,T1_G9,9,viscous,Y,N,NA,20231018,2,1,1
TOA25_EBA25_DMD50_P,,,,,71,N,T1_H1,9,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,1.1,0.9,2
TOA25_AZA25_DMD50_P,,,,,72,N,T1_H2,9,"solid (elastic, clear)",Y,N,NA,20231018,0.9,1.1,2
SCA25_TOA25_DMD50_P,,,,,73,N,T1_H3,9,"solid (elastic, opaque)",Y,Y,Distributed,20231209,1,1,2
SBA50_PPD25_HND25_P,,,,,74,Y,T1_H4,9,"solid (waxy, opaque)",Y,N,NA,20231018,2,0.9,1.1
ADA50_PPD25_CHD25_P,,,,,75,N,T1_H5,9,"solid (waxy, opaque)",Y,Y,Distributed,20231018,2,1,1
CCD50_PPD25_MPD25_P,,,,,76,N,T1_H6,9,"solid (elastic, clear)",Y,N,NA,20231018,2,1,1
SBA50_PPD25_NND25_P,,,,,77,Y,T1_H10,10,"solid (waxy, opaque)",Y,N,NA,20231018,2,1,1
CCD50_PPD25_HND25_P,,,,,78,N,T1_H7,10,"solid (elastic, clear)",Y,N,NA,20231018,2,1,1
SUA50_PPD25_NND25_P,,,,,79,Y,T1_H8,10,"solid (waxy, opaque)",Y,N,NA,20231018,2,1.1,0.9
SCA50_PPD25_GGE25_P,,,,,80,N,T1_H9,10,"solid (elastic, clear)",Y,Y,Distributed,20231018,2,1,1
CCD50_PPD25_CHD25_P,,,,,81,N,T1_I1,10,"solid (elastic, clear)",Y,Y,Distributed,20231018,2,1,1
SCA50_PPD25_TEG25_P,,,,,82,NA,T1_I2,10,viscous,Y,Y,Clear Zone,20231018,2,1.1,0.9
TOA50_PPD25_CHD25_P,,,,,83,N,T1_I3,10,"solid (elastic, opaque)",Y,Y,Distributed,20231018,2,1,1
EBA50_PPD25_MPD25_P,,,,,84,NA,T1_I4,10,viscous,Y,Y,Clear Zone,20231018,2,1,1
GLA50_PPD25_TPD25_P,,,,,85,NA,T1_I5,10,viscous,Y,Y,Clear zone,20231018,2,1.1,0.9
CCD50_PPD25_TPD25_P,,,,,86,N,T1_I6,10,"solid (elastic, clear)",Y,N,NA,20231018,2,1.1,0.9
SCA25_AZA25_PPD50_P,,,,,87,N,T1_I10,11,"solid (waxy, opaque)",Y,Y,Clear Zone,20231209,1,1,2
GLA50_PPD25_MPD25_P,,,,,88,NA,T1_I7,11,viscous,Y,Y,Clear Zone,20231018,2,1,1
TOA50_PPD25_BPA25_P,,,,,89,N,T1_I8,11,"solid (elastic, clear)",Y,Y,Color Interference,20231018,2,1.3,0.7
DGA25_TOA25_PPD50_P,,,,,90,N,T1_I9,11,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,1,1,2
GLA25_AZA25_PPD50_P,,,,,91,N,T1_J1,11,"solid (waxy, opaque)",Y,Y,Clear Zone,20231018,1,1,2
EBA25_SBA25_PPD50_P,,,,,92,N,T1_J2,11,"solid (waxy, opaque)",Y,Y,Clear Zone,20231018,0.9,1.1,2
TOA25_EBA25_PPD50_P,,,,,93,N,T1_J3,11,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,1.1,0.9,2
AZA50_BND25_DCD25_P,,,,,94,Y,T1_J4,11,"solid (waxy, opaque)",Y,N,NA,20231018,2,0.9,1.1
SBA50_BND25_CHM25_P,,,,,95,Y,T1_J5,11,"solid (waxy, opaque)",Y,N,NA,20231018,2,0.9,1.1
SCA50_BND25_GGE25_P,,,,,96,N,T1_J6,11,"solid (elastic, clear)",Y,Y,Clear Zone,20231018,2,1,1
CCD50_BND25_BPA25_P,,,,,97,N,T1_J10,12,"solid (elastic, clear)",Y,Y,Color Interference,20231115,2,1.4,0.6
SBA50_BND25_BPA25_P,,,,,98,,Revisions_16,,,Y,Y,Color Interference,Revision,2,1.2,0.8
AZA50_BND25_BED25_P,,,,,99,NA,T1_J8,12,viscous,Y,N,NA,20231018,2,1,1
DGA50_BND25_PTD25_P,,,,,100,N,T1_J9,12,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,2,1,1
TOA50_BND25_GGE25_P,,,,,101,N,T2_A1,12,"solid (elastic, clear)",Y,Y,Clear Zone,20231018,2,1,1
