,SMILES,importance
63,"['C(=O)CCCC(=O)', 'OCCCCCCCCCO']",0.005430913279561497
64,"['C(=O)CCCCCCCC(=O)', 'OCCCCCCCCCO']",0.005176614318796863
65,"['C(=O)CCCCC(=O)', 'OCCCCCCCCCO']",0.0049663336963518614
66,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCCCCCCCO']",0.011551333460787084
67,"['C(=O)c(ccc1c2)cc1ccc2C(=O)', 'OCCCCO']",0.004643838618487262
68,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCCCCO']",0.009208387249373264
69,"['C(=O)c(ccc1c2)cc1ccc2C(=O)', 'OCCCCCCCCO']",0.01732281320655018
70,"['C(=O)CCCCCCCCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']",0.007473142069230318
71,"['C(=O)CCCCCC(=O)', 'OCCCCCCCCO']",0.005968966384276611
72,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCCCCO']",0.009232252900696875
73,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCCCCCO']",0.01363524393289285
74,"['C(=O)CCCCCC(=O)', 'OCCOCCO']",0.004050246735525572
75,"['C(=O)C(CC1)CCC1C(=O)', 'OCCOCCO']",0.008068880537007847
76,"['C(=O)c(ccc1c2)cc1ccc2C(=O)', 'OCCOCCO']",0.023736598634091444
77,"['C(=O)C(CC1)CCC1C(=O)', 'OC(C)COC(C)COC(C)CO']",0.008692391106517608
78,"['C(=O)c(ccc1c2)cc1ccc2C(=O)', 'OCC(C)OCC(C)O']",0.010590686505373719
79,"['C(=O)CCCCC(=O)', 'OCC(C)OCC(C)O']",0.015325793816687472
80,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(CC)(CC)CO']",0.014994126628868584
81,"['C(=O)CCCC(=O)', 'OC(CC1)CCC1O']",0.010380085773190637
82,"['C(=O)CCC(=O)', 'OCC(COc1ccccc1OC)O']",0.005188543783727922
83,"['C(=O)CCCCCC(=O)', 'OCCC(C)CCO']",0.0064395969346274385
84,"['C(=O)c1nc2ccccc2c(c1)C(=O)', 'OC(CC1)CCC1O']",0.01604609298543841
85,"['C(=O)c1nc2ccccc2c(c1)C(=O)', 'OCC(C)(C)CO']",0.008646501320648951
86,"['C(=O)c1nc2ccccc2c(c1)C(=O)', 'OCC(CC)(CCCC)CO']",0.013788010547352235
87,"['C(=O)CCCCCCCCC(=O)', 'OC(CC1)CCC1O']",0.008676331125196848
88,"['C(=O)CN(C)CC(=O)', 'OCC(CC)(CC)CO']",0.004501710050314187
89,"['C(=O)CCCC(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']",0.00521914141174538
90,"['C(=O)CSCC(=O)', 'OCC(C)(C)CO']",0.006292368019478425
91,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(CC1)CCC1CO']",0.021261093897849612
92,"['C(=O)c(ccc1c2)cc1ccc2C(=O)', 'OCC(C)O']",0.019772210158401412
93,"['C(=O)COCCOCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']",0.008070399011447627
94,"['C(=O)CCCC(CCCCCC)O', 'C(=O)CCCCC(CCCC)O']",0.008673153428719027
95,"['C(=O)CC(C)O', 'C(=O)CCCCC(CCCC)O']",0.009308400571562604
96,"['C(=O)CCCC(CCCCCCC)O', 'C(=O)CCCCC(CCCC)O']",0.015113165134265036
97,"['C(=O)CC(C)O', 'C(=O)CCCCCO']",0.008717419641751914
98,"['C(=O)CCCCO', 'C(=O)CCCCO']",0.010345549508551582
99,"['C(=O)CCCCCCCCCCCCCCO', 'C(=O)CCCCO']",0.010276293965325149
100,"['C(=O)CCCCO', 'C(=O)CCO']",0.006024087982609585
101,"['C(=O)C=Cc(cccc1)c1O', 'C(=O)C=Cc(cccc1)c1O']",0.009731737579260226
102,"['C(=O)C(C)OC(=O)C(C)O', 'C(=O)CCCC(CCCCCC)O']",0.007073773403425967
103,"['C(=O)COC(=O)CO', 'C(=O)CCCCC(CCCC)O']",0.00799226851931273
104,"['C(=O)COC(=O)CO', 'C(=O)CCCCCCCCCCCCCCO']",0.011886131638971774
105,"['C(=O)COC(=O)CO', 'C(=O)C=Cc(cccc1)c1O']",0.012333829118624457
106,"['C(=O)C=Cc(cccc1)c1O', 'C(=O)CCCCC(CCCC)O']",0.012338868086447373
107,"['C(=O)C=Cc(cccc1)c1O', 'C(=O)C=CCC(CCCCC)O']",0.01810582047137643
108,"['C(=O)COC(=O)CO', 'C(=O)CCO']",0.0076254081075093445
