Dataset,Number of Estimators,Max Depth,Min Samples Split,Min Samples Leaf,Max Leaf Nodes,Mean Cross Val Score,STD,"Eval [Library, Ter, Combined]"
Reduced,1,2,2,1,256,0.73386657117656,0.03982477535991206,"[0.6666666666666666, 0.8888888888888888, 0.8166666666666667]"
Original,1,2,2,1,256,0.6428168223671478,0.011507333603196583,"[0.5454545454545454, 0.8024691358024691, 0.6544502617801047]"
Reduced,1,2,2,1,512,0.73386657117656,0.03982477535991206,"[0.6666666666666666, 0.8888888888888888, 0.8166666666666667]"
Original,1,2,2,1,512,0.6428168223671478,0.011507333603196583,"[0.5454545454545454, 0.8024691358024691, 0.6544502617801047]"
Reduced,1,4,2,1,2,0.7318939098605386,0.028436829025924117,"[0.6666666666666666, 0.8765432098765432, 0.8083333333333333]"
Original,1,4,2,1,2,0.6274874076867489,0.03446311933955879,"[0.5545454545454546, 0.7901234567901234, 0.6544502617801047]"
Reduced,1,4,2,1,4,0.7345038762863814,0.03447487329240976,"[0.6666666666666666, 0.8641975308641975, 0.8]"
Original,1,4,2,1,4,0.6558622464165886,0.02759922550840573,"[0.5545454545454546, 0.7283950617283951, 0.6282722513089005]"
Reduced,1,4,2,1,8,0.7558973777054888,0.03928325654480612,"[0.7948717948717948, 0.9012345679012346, 0.8666666666666667]"
Original,1,4,2,1,8,0.6700552512078818,0.019440244925983056,"[0.6272727272727273, 0.8024691358024691, 0.7015706806282722]"
Reduced,1,4,2,1,16,0.7538381574767895,0.037614917561724526,"[0.7948717948717948, 0.9012345679012346, 0.8666666666666667]"
Original,1,4,2,1,16,0.6555894607261897,0.021067880350465938,"[0.6363636363636364, 0.8024691358024691, 0.7068062827225131]"
Reduced,1,4,2,1,32,0.7538381574767895,0.037614917561724526,"[0.7948717948717948, 0.9012345679012346, 0.8666666666666667]"
Original,1,4,2,1,32,0.6555894607261897,0.021067880350465938,"[0.6363636363636364, 0.8024691358024691, 0.7068062827225131]"
Reduced,1,4,2,1,64,0.7538381574767895,0.037614917561724526,"[0.7948717948717948, 0.9012345679012346, 0.8666666666666667]"
Original,1,4,2,1,64,0.6555894607261897,0.021067880350465938,"[0.6363636363636364, 0.8024691358024691, 0.7068062827225131]"
Reduced,1,4,2,1,128,0.7538381574767895,0.037614917561724526,"[0.7948717948717948, 0.9012345679012346, 0.8666666666666667]"
Original,1,4,2,1,128,0.6555894607261897,0.021067880350465938,"[0.6363636363636364, 0.8024691358024691, 0.7068062827225131]"
Reduced,1,4,2,1,256,0.7538381574767895,0.037614917561724526,"[0.7948717948717948, 0.9012345679012346, 0.8666666666666667]"
Original,1,4,2,1,256,0.6555894607261897,0.021067880350465938,"[0.6363636363636364, 0.8024691358024691, 0.7068062827225131]"
Reduced,1,4,2,1,512,0.7538381574767895,0.037614917561724526,"[0.7948717948717948, 0.9012345679012346, 0.8666666666666667]"
Original,1,4,2,1,512,0.6555894607261897,0.021067880350465938,"[0.6363636363636364, 0.8024691358024691, 0.7068062827225131]"
Reduced,1,8,2,1,2,0.7318939098605386,0.028436829025924117,"[0.6666666666666666, 0.8765432098765432, 0.8083333333333333]"
Original,1,8,2,1,2,0.6274874076867489,0.03446311933955879,"[0.5545454545454546, 0.7901234567901234, 0.6544502617801047]"
Reduced,1,8,2,1,4,0.7345038762863814,0.03447487329240976,"[0.6666666666666666, 0.8641975308641975, 0.8]"
Original,1,8,2,1,4,0.6558622464165886,0.02759922550840573,"[0.5545454545454546, 0.7283950617283951, 0.6282722513089005]"
Reduced,1,8,2,1,8,0.7620091627651394,0.04122406005961275,"[0.7948717948717948, 0.8765432098765432, 0.85]"
Original,1,8,2,1,8,0.6538823843975715,0.013782814855137136,"[0.6090909090909091, 0.8641975308641975, 0.7172774869109948]"
Reduced,1,8,2,1,16,0.7844694590515544,0.021547900712014623,"[0.8205128205128205, 0.8765432098765432, 0.8583333333333333]"
Original,1,8,2,1,16,0.6687731912984172,0.024171434373386376,"[0.6545454545454545, 0.7530864197530864, 0.6963350785340314]"
Reduced,1,8,2,1,32,0.7618473032189499,0.037248610931545655,"[0.8205128205128205, 0.8765432098765432, 0.8583333333333333]"
Original,1,8,2,1,32,0.6620509848267988,0.03229773417557094,"[0.7272727272727273, 0.8271604938271605, 0.7696335078534031]"
Reduced,1,8,2,1,64,0.7618473032189499,0.037248610931545655,"[0.8205128205128205, 0.8765432098765432, 0.8583333333333333]"
Original,1,8,2,1,64,0.6791973670351544,0.0344495892909182,"[0.7545454545454545, 0.8271604938271605, 0.7853403141361257]"
Reduced,1,8,2,1,128,0.7618473032189499,0.037248610931545655,"[0.8205128205128205, 0.8765432098765432, 0.8583333333333333]"
Original,1,8,2,1,128,0.6791973670351544,0.0344495892909182,"[0.7545454545454545, 0.8271604938271605, 0.7853403141361257]"
Reduced,1,8,2,1,256,0.7618473032189499,0.037248610931545655,"[0.8205128205128205, 0.8765432098765432, 0.8583333333333333]"
Original,1,8,2,1,256,0.6791973670351544,0.0344495892909182,"[0.7545454545454545, 0.8271604938271605, 0.7853403141361257]"
Reduced,1,8,2,1,512,0.7618473032189499,0.037248610931545655,"[0.8205128205128205, 0.8765432098765432, 0.8583333333333333]"
Original,1,8,2,1,512,0.6791973670351544,0.0344495892909182,"[0.7545454545454545, 0.8271604938271605, 0.7853403141361257]"
Reduced,1,16,2,1,2,0.7318939098605386,0.028436829025924117,"[0.6666666666666666, 0.8765432098765432, 0.8083333333333333]"
Original,1,16,2,1,2,0.6274874076867489,0.03446311933955879,"[0.5545454545454546, 0.7901234567901234, 0.6544502617801047]"
Reduced,1,16,2,1,4,0.7345038762863814,0.03447487329240976,"[0.6666666666666666, 0.8641975308641975, 0.8]"
Original,1,16,2,1,4,0.6558622464165886,0.02759922550840573,"[0.5545454545454546, 0.7283950617283951, 0.6282722513089005]"
Reduced,1,16,2,1,8,0.7620091627651394,0.04122406005961275,"[0.7948717948717948, 0.8765432098765432, 0.85]"
Original,1,16,2,1,8,0.6538823843975715,0.013782814855137136,"[0.6090909090909091, 0.8641975308641975, 0.7172774869109948]"
Reduced,1,16,2,1,16,0.7762300144174359,0.01728318287594081,"[0.8717948717948718, 0.8518518518518519, 0.8583333333333333]"
Original,1,16,2,1,16,0.6675234936446237,0.030746118830309765,"[0.6545454545454545, 0.7530864197530864, 0.6963350785340314]"
Reduced,1,16,2,1,32,0.7678645256308462,0.033786810228588364,"[0.8205128205128205, 0.8641975308641975, 0.85]"
Original,1,16,2,1,32,0.6629558639101563,0.042479300949048934,"[0.7363636363636363, 0.8271604938271605, 0.774869109947644]"
Reduced,1,16,2,1,64,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,16,2,1,64,0.6803078749428698,0.0749252448250295,"[0.7272727272727273, 0.8395061728395061, 0.774869109947644]"
Reduced,1,16,2,1,128,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,16,2,1,128,0.692903869902103,0.0659978032400312,"[0.6909090909090909, 0.8395061728395061, 0.7539267015706806]"
Reduced,1,16,2,1,256,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,16,2,1,256,0.692903869902103,0.0659978032400312,"[0.6909090909090909, 0.8395061728395061, 0.7539267015706806]"
Reduced,1,16,2,1,512,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,16,2,1,512,0.692903869902103,0.0659978032400312,"[0.6909090909090909, 0.8395061728395061, 0.7539267015706806]"
Reduced,1,32,2,1,2,0.7318939098605386,0.028436829025924117,"[0.6666666666666666, 0.8765432098765432, 0.8083333333333333]"
Original,1,32,2,1,2,0.6274874076867489,0.03446311933955879,"[0.5545454545454546, 0.7901234567901234, 0.6544502617801047]"
Reduced,1,32,2,1,4,0.7345038762863814,0.03447487329240976,"[0.6666666666666666, 0.8641975308641975, 0.8]"
Original,1,32,2,1,4,0.6558622464165886,0.02759922550840573,"[0.5545454545454546, 0.7283950617283951, 0.6282722513089005]"
Reduced,1,32,2,1,8,0.7620091627651394,0.04122406005961275,"[0.7948717948717948, 0.8765432098765432, 0.85]"
Original,1,32,2,1,8,0.6538823843975715,0.013782814855137136,"[0.6090909090909091, 0.8641975308641975, 0.7172774869109948]"
Reduced,1,32,2,1,16,0.7762300144174359,0.01728318287594081,"[0.8717948717948718, 0.8518518518518519, 0.8583333333333333]"
Original,1,32,2,1,16,0.6675234936446237,0.030746118830309765,"[0.6545454545454545, 0.7530864197530864, 0.6963350785340314]"
Reduced,1,32,2,1,32,0.7678645256308462,0.033786810228588364,"[0.8205128205128205, 0.8641975308641975, 0.85]"
Original,1,32,2,1,32,0.6629558639101563,0.042479300949048934,"[0.7363636363636363, 0.8271604938271605, 0.774869109947644]"
Reduced,1,32,2,1,64,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,32,2,1,64,0.6815273871379917,0.07579647514936,"[0.7272727272727273, 0.8395061728395061, 0.774869109947644]"
Reduced,1,32,2,1,128,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,32,2,1,128,0.6953812437324449,0.06507215336738009,"[0.6909090909090909, 0.8518518518518519, 0.7591623036649214]"
Reduced,1,32,2,1,256,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,32,2,1,256,0.6953812437324449,0.06507215336738009,"[0.6909090909090909, 0.8518518518518519, 0.7591623036649214]"
Reduced,1,32,2,1,512,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,32,2,1,512,0.6953812437324449,0.06507215336738009,"[0.6909090909090909, 0.8518518518518519, 0.7591623036649214]"
Reduced,1,64,2,1,2,0.7318939098605386,0.028436829025924117,"[0.6666666666666666, 0.8765432098765432, 0.8083333333333333]"
Original,1,64,2,1,2,0.6274874076867489,0.03446311933955879,"[0.5545454545454546, 0.7901234567901234, 0.6544502617801047]"
Reduced,1,64,2,1,4,0.7345038762863814,0.03447487329240976,"[0.6666666666666666, 0.8641975308641975, 0.8]"
Original,1,64,2,1,4,0.6558622464165886,0.02759922550840573,"[0.5545454545454546, 0.7283950617283951, 0.6282722513089005]"
Reduced,1,64,2,1,8,0.7620091627651394,0.04122406005961275,"[0.7948717948717948, 0.8765432098765432, 0.85]"
Original,1,64,2,1,8,0.6538823843975715,0.013782814855137136,"[0.6090909090909091, 0.8641975308641975, 0.7172774869109948]"
Reduced,1,64,2,1,16,0.7762300144174359,0.01728318287594081,"[0.8717948717948718, 0.8518518518518519, 0.8583333333333333]"
Original,1,64,2,1,16,0.6675234936446237,0.030746118830309765,"[0.6545454545454545, 0.7530864197530864, 0.6963350785340314]"
Reduced,1,64,2,1,32,0.7678645256308462,0.033786810228588364,"[0.8205128205128205, 0.8641975308641975, 0.85]"
Original,1,64,2,1,32,0.6629558639101563,0.042479300949048934,"[0.7363636363636363, 0.8271604938271605, 0.774869109947644]"
Reduced,1,64,2,1,64,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,64,2,1,64,0.6815273871379917,0.07579647514936,"[0.7272727272727273, 0.8395061728395061, 0.774869109947644]"
Reduced,1,64,2,1,128,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,64,2,1,128,0.6953812437324449,0.06507215336738009,"[0.6909090909090909, 0.8518518518518519, 0.7591623036649214]"
Reduced,1,64,2,1,256,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,64,2,1,256,0.6953812437324449,0.06507215336738009,"[0.6909090909090909, 0.8518518518518519, 0.7591623036649214]"
Reduced,1,64,2,1,512,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,64,2,1,512,0.6953812437324449,0.06507215336738009,"[0.6909090909090909, 0.8518518518518519, 0.7591623036649214]"
Reduced,1,128,2,1,2,0.7318939098605386,0.028436829025924117,"[0.6666666666666666, 0.8765432098765432, 0.8083333333333333]"
Original,1,128,2,1,2,0.6274874076867489,0.03446311933955879,"[0.5545454545454546, 0.7901234567901234, 0.6544502617801047]"
Reduced,1,128,2,1,4,0.7345038762863814,0.03447487329240976,"[0.6666666666666666, 0.8641975308641975, 0.8]"
Original,1,128,2,1,4,0.6558622464165886,0.02759922550840573,"[0.5545454545454546, 0.7283950617283951, 0.6282722513089005]"
Reduced,1,128,2,1,8,0.7620091627651394,0.04122406005961275,"[0.7948717948717948, 0.8765432098765432, 0.85]"
Original,1,128,2,1,8,0.6538823843975715,0.013782814855137136,"[0.6090909090909091, 0.8641975308641975, 0.7172774869109948]"
Reduced,1,128,2,1,16,0.7762300144174359,0.01728318287594081,"[0.8717948717948718, 0.8518518518518519, 0.8583333333333333]"
Original,1,128,2,1,16,0.6675234936446237,0.030746118830309765,"[0.6545454545454545, 0.7530864197530864, 0.6963350785340314]"
Reduced,1,128,2,1,32,0.7678645256308462,0.033786810228588364,"[0.8205128205128205, 0.8641975308641975, 0.85]"
Original,1,128,2,1,32,0.6629558639101563,0.042479300949048934,"[0.7363636363636363, 0.8271604938271605, 0.774869109947644]"
Reduced,1,128,2,1,64,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,128,2,1,64,0.6815273871379917,0.07579647514936,"[0.7272727272727273, 0.8395061728395061, 0.774869109947644]"
Reduced,1,128,2,1,128,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,128,2,1,128,0.6953812437324449,0.06507215336738009,"[0.6909090909090909, 0.8518518518518519, 0.7591623036649214]"
Reduced,1,128,2,1,256,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,128,2,1,256,0.6953812437324449,0.06507215336738009,"[0.6909090909090909, 0.8518518518518519, 0.7591623036649214]"
Reduced,1,128,2,1,512,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,128,2,1,512,0.6953812437324449,0.06507215336738009,"[0.6909090909090909, 0.8518518518518519, 0.7591623036649214]"
Reduced,1,256,2,1,2,0.7318939098605386,0.028436829025924117,"[0.6666666666666666, 0.8765432098765432, 0.8083333333333333]"
Original,1,256,2,1,2,0.6274874076867489,0.03446311933955879,"[0.5545454545454546, 0.7901234567901234, 0.6544502617801047]"
Reduced,1,256,2,1,4,0.7345038762863814,0.03447487329240976,"[0.6666666666666666, 0.8641975308641975, 0.8]"
Original,1,256,2,1,4,0.6558622464165886,0.02759922550840573,"[0.5545454545454546, 0.7283950617283951, 0.6282722513089005]"
Reduced,1,256,2,1,8,0.7620091627651394,0.04122406005961275,"[0.7948717948717948, 0.8765432098765432, 0.85]"
Original,1,256,2,1,8,0.6538823843975715,0.013782814855137136,"[0.6090909090909091, 0.8641975308641975, 0.7172774869109948]"
Reduced,1,256,2,1,16,0.7762300144174359,0.01728318287594081,"[0.8717948717948718, 0.8518518518518519, 0.8583333333333333]"
Original,1,256,2,1,16,0.6675234936446237,0.030746118830309765,"[0.6545454545454545, 0.7530864197530864, 0.6963350785340314]"
Reduced,1,256,2,1,32,0.7678645256308462,0.033786810228588364,"[0.8205128205128205, 0.8641975308641975, 0.85]"
Original,1,256,2,1,32,0.6629558639101563,0.042479300949048934,"[0.7363636363636363, 0.8271604938271605, 0.774869109947644]"
Reduced,1,256,2,1,64,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,256,2,1,64,0.6815273871379917,0.07579647514936,"[0.7272727272727273, 0.8395061728395061, 0.774869109947644]"
Reduced,1,256,2,1,128,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,256,2,1,128,0.6953812437324449,0.06507215336738009,"[0.6909090909090909, 0.8518518518518519, 0.7591623036649214]"
Reduced,1,256,2,1,256,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,256,2,1,256,0.6953812437324449,0.06507215336738009,"[0.6909090909090909, 0.8518518518518519, 0.7591623036649214]"
Reduced,1,256,2,1,512,0.7682011124810206,0.03922228165445373,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,1,256,2,1,512,0.6953812437324449,0.06507215336738009,"[0.6909090909090909, 0.8518518518518519, 0.7591623036649214]"
Reduced,2,1,2,1,2,0.7431124785259158,0.03499791209596288,"[0.6153846153846154, 0.8765432098765432, 0.7916666666666666]"
Original,2,1,2,1,2,0.6463457432249726,0.023520192795428965,"[0.5272727272727272, 0.9135802469135802, 0.6910994764397905]"
Reduced,2,1,2,1,4,0.7431124785259158,0.03499791209596288,"[0.6153846153846154, 0.8765432098765432, 0.7916666666666666]"
Original,2,1,2,1,4,0.6463457432249726,0.023520192795428965,"[0.5272727272727272, 0.9135802469135802, 0.6910994764397905]"
Reduced,2,1,2,1,8,0.7431124785259158,0.03499791209596288,"[0.6153846153846154, 0.8765432098765432, 0.7916666666666666]"
Original,2,1,2,1,8,0.6463457432249726,0.023520192795428965,"[0.5272727272727272, 0.9135802469135802, 0.6910994764397905]"
Reduced,2,1,2,1,16,0.7431124785259158,0.03499791209596288,"[0.6153846153846154, 0.8765432098765432, 0.7916666666666666]"
Original,2,1,2,1,16,0.6463457432249726,0.023520192795428965,"[0.5272727272727272, 0.9135802469135802, 0.6910994764397905]"
Reduced,2,1,2,1,32,0.7431124785259158,0.03499791209596288,"[0.6153846153846154, 0.8765432098765432, 0.7916666666666666]"
Original,2,1,2,1,32,0.6463457432249726,0.023520192795428965,"[0.5272727272727272, 0.9135802469135802, 0.6910994764397905]"
Reduced,2,1,2,1,64,0.7431124785259158,0.03499791209596288,"[0.6153846153846154, 0.8765432098765432, 0.7916666666666666]"
Original,2,1,2,1,64,0.6463457432249726,0.023520192795428965,"[0.5272727272727272, 0.9135802469135802, 0.6910994764397905]"
Reduced,2,1,2,1,128,0.7431124785259158,0.03499791209596288,"[0.6153846153846154, 0.8765432098765432, 0.7916666666666666]"
Original,2,1,2,1,128,0.6463457432249726,0.023520192795428965,"[0.5272727272727272, 0.9135802469135802, 0.6910994764397905]"
Reduced,2,1,2,1,256,0.7431124785259158,0.03499791209596288,"[0.6153846153846154, 0.8765432098765432, 0.7916666666666666]"
Original,2,1,2,1,256,0.6463457432249726,0.023520192795428965,"[0.5272727272727272, 0.9135802469135802, 0.6910994764397905]"
Reduced,2,1,2,1,512,0.7431124785259158,0.03499791209596288,"[0.6153846153846154, 0.8765432098765432, 0.7916666666666666]"
Original,2,1,2,1,512,0.6463457432249726,0.023520192795428965,"[0.5272727272727272, 0.9135802469135802, 0.6910994764397905]"
Reduced,2,2,2,1,2,0.7431124785259158,0.03499791209596288,"[0.6153846153846154, 0.8765432098765432, 0.7916666666666666]"
Original,2,2,2,1,2,0.6463457432249726,0.023520192795428965,"[0.5272727272727272, 0.9135802469135802, 0.6910994764397905]"
Reduced,2,2,2,1,4,0.71750600261787,0.05509521252588733,"[0.6923076923076923, 0.8271604938271605, 0.7833333333333333]"
Original,2,2,2,1,4,0.6782019608896264,0.020975363729991727,"[0.5272727272727272, 0.9012345679012346, 0.6858638743455497]"
Reduced,2,2,2,1,8,0.71750600261787,0.05509521252588733,"[0.6923076923076923, 0.8271604938271605, 0.7833333333333333]"
Original,2,2,2,1,8,0.6782019608896264,0.020975363729991727,"[0.5272727272727272, 0.9012345679012346, 0.6858638743455497]"
Reduced,2,2,2,1,16,0.71750600261787,0.05509521252588733,"[0.6923076923076923, 0.8271604938271605, 0.7833333333333333]"
Original,2,2,2,1,16,0.6782019608896264,0.020975363729991727,"[0.5272727272727272, 0.9012345679012346, 0.6858638743455497]"
Reduced,2,2,2,1,32,0.71750600261787,0.05509521252588733,"[0.6923076923076923, 0.8271604938271605, 0.7833333333333333]"
Original,2,2,2,1,32,0.6782019608896264,0.020975363729991727,"[0.5272727272727272, 0.9012345679012346, 0.6858638743455497]"
Reduced,2,2,2,1,64,0.71750600261787,0.05509521252588733,"[0.6923076923076923, 0.8271604938271605, 0.7833333333333333]"
Original,2,2,2,1,64,0.6782019608896264,0.020975363729991727,"[0.5272727272727272, 0.9012345679012346, 0.6858638743455497]"
Reduced,2,2,2,1,128,0.71750600261787,0.05509521252588733,"[0.6923076923076923, 0.8271604938271605, 0.7833333333333333]"
Original,2,2,2,1,128,0.6782019608896264,0.020975363729991727,"[0.5272727272727272, 0.9012345679012346, 0.6858638743455497]"
Reduced,2,2,2,1,256,0.71750600261787,0.05509521252588733,"[0.6923076923076923, 0.8271604938271605, 0.7833333333333333]"
Original,2,2,2,1,256,0.6782019608896264,0.020975363729991727,"[0.5272727272727272, 0.9012345679012346, 0.6858638743455497]"
Reduced,2,2,2,1,512,0.71750600261787,0.05509521252588733,"[0.6923076923076923, 0.8271604938271605, 0.7833333333333333]"
Original,2,2,2,1,512,0.6782019608896264,0.020975363729991727,"[0.5272727272727272, 0.9012345679012346, 0.6858638743455497]"
Reduced,2,4,2,1,2,0.7431124785259158,0.03499791209596288,"[0.6153846153846154, 0.8765432098765432, 0.7916666666666666]"
Original,2,4,2,1,2,0.6463457432249726,0.023520192795428965,"[0.5272727272727272, 0.9135802469135802, 0.6910994764397905]"
Reduced,2,4,2,1,4,0.7343263412915025,0.052842593424558375,"[0.6666666666666666, 0.8271604938271605, 0.775]"
Original,2,4,2,1,4,0.6819185037350401,0.01657884062202762,"[0.6181818181818182, 0.8518518518518519, 0.7172774869109948]"
Reduced,2,4,2,1,8,0.7529810831413295,0.05660068488981702,"[0.8461538461538461, 0.8518518518518519, 0.85]"
Original,2,4,2,1,8,0.683780839795576,0.01862784745837181,"[0.6545454545454545, 0.8518518518518519, 0.7382198952879581]"
Reduced,2,4,2,1,16,0.7648043861612868,0.041070577359421497,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,2,4,2,1,16,0.6960168109677728,0.012325273847834146,"[0.6545454545454545, 0.8395061728395061, 0.7329842931937173]"
Reduced,2,4,2,1,32,0.7648043861612868,0.041070577359421497,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,2,4,2,1,32,0.6960168109677728,0.012325273847834146,"[0.6545454545454545, 0.8395061728395061, 0.7329842931937173]"
Reduced,2,4,2,1,64,0.7648043861612868,0.041070577359421497,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,2,4,2,1,64,0.6960168109677728,0.012325273847834146,"[0.6545454545454545, 0.8395061728395061, 0.7329842931937173]"
Reduced,2,4,2,1,128,0.7648043861612868,0.041070577359421497,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,2,4,2,1,128,0.6960168109677728,0.012325273847834146,"[0.6545454545454545, 0.8395061728395061, 0.7329842931937173]"
Reduced,2,4,2,1,256,0.7648043861612868,0.041070577359421497,"[0.8461538461538461, 0.8641975308641975, 0.8583333333333333]"
Original,2,4,2,1,256,0.6960168109677728,0.012325273847834146,"[0.6545454545454545, 0.8395061728395061, 0.7329842931937173]"
