,Name,SMILES_List,Ratio_List,Biodegradability
204,R_51,"['C(=O)COCCOCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",1
189,R_215,"['C(=O)CSCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
220,R_72,"['C(=O)CCCCCCCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
60,DW_17-1,"['C(=O)COCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",1
180,R_193,"['C(=O)CCCC(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
40,DW_13-2,"['C(=O)CCCCC(=O)', 'OCC(C)CO']","[1, 1]",1
111,DW_7-3,"['C(=O)CCCCC(=O)', 'OCCCCO']","[1, 1]",1
160,R_158,"['C(=O)CCCCCCC(=O)', 'OCCOCCO']","[1, 1]",1
178,R_190,"['C(=O)CCCCCCCCC(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
159,R_157,"['C(=O)c(ccc1)cc1C(=O)', 'OCCOCCO']","[1, 1]",1
186,R_212,"['C(=O)CCCCCCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
174,R_181,"['C(=O)CSCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
192,R_220,"['C(=O)CCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
176,R_187,"['C(=O)CCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
172,R_178,"['C(=O)C(CC1)CCC1C(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
156,R_150,"['C(=O)C(CC1)CCC1C(=O)', 'OCCOCCO']","[1, 1]",1
207,R_56,"['C(=O)COCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
173,R_180,"['C(=O)CCCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
212,R_61,"['C(=O)COCCOCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",1
81,DW_19-7,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
116,DW_7-8,"['C(=O)CCCCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
86,DW_3-5,"['C(=O)CCCCCCCC(=O)', 'OCCC(C)CCO']","[1, 1]",0
124,DW_8-5,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCCCO']","[1, 1]",0
138,R_119,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCCCCCCCO']","[1, 1]",0
72,DW_18-8,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",0
183,R_2,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
117,DW_7-9,"['C(=O)CCCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
83,DW_3-2,"['C(=O)CCCCCCCC(=O)', 'OCCCO']","[1, 1]",0
113,DW_7-5,"['C(=O)CCCCC(=O)', 'OCCCCCCO']","[1, 1]",0
222,R_75,"['C(=O)CCCC(=O)', 'OCC(C)O']","[1, 1]",0
63,DW_17-3,"['C(=O)COCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
233,R_97,"['C(=O)CCCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
84,DW_3-3,"['C(=O)CCCCCCCC(=O)', 'OCCCCO']","[1, 1]",0
0,AC_101,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCCCCO']","[1, 1]",0
120,DW_8-11,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(C)O']","[1, 1]",0
74,DW_19-10,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)(C)CO']","[1, 1]",0
147,R_135,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCO']","[1, 1]",0
77,DW_19-3,"['C(=O)C(CC1)CCC1C(=O)', 'OCCC(C)CCO']","[1, 1]",0
73,DW_19-1,"['C(=O)C(CC1)CCC1C(=O)', 'OCCO']","[1, 1]",0
