,Name,SMILES_List,Ratio_List,Biodegradability
75,DW_19-11,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)CO']","[1, 1]",1
112,DW_7-4,"['C(=O)CCCCC(=O)', 'OCCCCCO']","[1, 1]",1
142,R_127,"['C(=O)CCCCCCCCC(=O)', 'OCCCCO']","[1, 1]",1
19,AC_66,"['C(=O)CCCCCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
30,DW_10-6,"['C(=O)COCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
137,R_118,"['C(=O)CSCC(=O)', 'OCCCCCCCCCO']","[1, 1]",1
144,R_13,"['C(=O)CCCC(=O)', 'OCC(C)CO']","[1, 1]",1
216,R_68,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCO']","[1, 1]",1
31,DW_10-8,"['C(=O)COCC(=O)', 'OCCCCCCCCO']","[1, 1]",1
234,R_98,"['C(=O)CSCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",1
100,DW_6-2,"['C(=O)CCCC(=O)', 'OCCCO']","[1, 1]",1
28,DW_10-4,"['C(=O)COCC(=O)', 'OCCCCCO']","[1, 1]",1
61,DW_17-10,"['C(=O)COCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
161,R_159,"['C(=O)CCCCC(=O)', 'OCCOCCO']","[1, 1]",1
101,DW_6-3,"['C(=O)CCCC(=O)', 'OCCCCO']","[1, 1]",1
175,R_185,"['C(=O)CCCCCCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
45,DW_14-2,"['C(=O)CCCCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",1
15,AC_36,"['C(=O)c(cc1)ccc1C(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
33,DW_12-10,"['C(=O)CSCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
211,R_60,"['C(=O)CCCCCCCCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
127,DW_8-9,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCCCCCCO']","[1, 1]",0
98,DW_6-10,"['C(=O)CCCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
2,AC_103,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
119,DW_8-10,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
41,DW_13-3,"['C(=O)CCCCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
139,R_12,"['C(=O)c(ccc1)cc1C(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
226,R_80,"['C(=O)CCCCCCCCC(=O)', 'OCCO']","[1, 1]",0
80,DW_19-6,"['C(=O)C(CC1)CCC1C(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
43,DW_13-5,"['C(=O)CCCCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
146,R_134,"['C(=O)CCCCCCCC(=O)', 'OCCCCCCO']","[1, 1]",0
217,R_69,"['C(=O)CCCCCCCCC(=O)', 'OCCC(C)CCO']","[1, 1]",0
163,R_162,"['C(=O)CCCCCCCC(=O)', 'OCCOCCOCCO']","[1, 1]",0
70,DW_18-5,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
149,R_142,"['C(=O)CCCCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
132,R_104,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCCCO']","[1, 1]",0
167,R_17,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)CO']","[1, 1]",0
108,DW_7-10,"['C(=O)CCCCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
128,DW_9-3,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
1,AC_102,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCCCCCO']","[1, 1]",0
