,Name,SMILES_List,Ratio_List,Biodegradability
36,DW_12-8,"['C(=O)CSCC(=O)', 'OCCCCO']","[1, 1]",1
26,DW_10-2,"['C(=O)COCC(=O)', 'OCCCO']","[1, 1]",1
50,DW_15-2,"['C(=O)CCC(=O)', 'OCC(C)CO']","[1, 1]",1
56,DW_16-10,"['C(=O)CSCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
168,R_172,"['C(=O)CCCCCCC(=O)', 'OCCOCCOCCO']","[1, 1]",1
39,DW_13-11,"['C(=O)CCCCC(=O)', 'OCC(C)O']","[1, 1]",1
165,R_164,"['C(=O)C(CC1)CCC1C(=O)', 'OCCOCCOCCO']","[1, 1]",1
179,R_191,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
213,R_63,"['C(=O)CSCC(=O)', 'OCC(C)(C)CO']","[1, 1]",1
131,R_103,"['C(=O)CSCC(=O)', 'OCCCCCO']","[1, 1]",1
215,R_67,"['C(=O)CSCC(=O)', 'OCCCO']","[1, 1]",1
221,R_73,"['C(=O)CCCCCCCCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
13,AC_301,"['C(=O)CCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
187,R_213,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
34,DW_12-11,"['C(=O)CSCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",1
177,R_189,"['C(=O)CCCCCCCC(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
231,R_88,"['C(=O)COCCOCC(=O)', 'OCCCO']","[1, 1]",1
35,DW_12-7,"['C(=O)CSCC(=O)', 'OCCO']","[1, 1]",1
29,DW_10-5,"['C(=O)COCC(=O)', 'OCCCCCCO']","[1, 1]",1
126,DW_8-8,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCCCCCO']","[1, 1]",0
68,DW_18-2,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCO']","[1, 1]",0
89,DW_5-10,"['C(=O)CCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
76,DW_19-2,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCCO']","[1, 1]",0
184,R_21,"['C(=O)CCCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
38,DW_13-1,"['C(=O)CCCCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
151,R_145,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
148,R_140,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
200,R_4,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
197,R_31,"['C(=O)CSCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
118,DW_8-1,"['C(=O)c(ccc1)cc1C(=O)', 'OCCO']","[1, 1]",0
99,DW_6-11,"['C(=O)CCCCCCCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
227,R_83,"['C(=O)CCCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
134,R_11,"['C(=O)c(ccc1)cc1C(=O)', 'OC(C)C(C)O']","[1, 1]",0
109,DW_7-11,"['C(=O)CCCCCCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
122,DW_8-3,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCO']","[1, 1]",0
105,DW_6-8,"['C(=O)CCCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
130,R_10,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(C)O']","[1, 1]",0
5,AC_109,"['C(=O)c(cc1)ccc1C(=O)', 'OC(C)C(C)O']","[1, 1]",0
71,DW_18-6,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
