,Name,SMILES_List,Ratio_List,Biodegradability
62,DW_17-2,"['C(=O)COCC(=O)', 'OCC(C)CO']","[1, 1]",1
201,R_49,"['C(=O)COCCOCC(=O)', 'OCC(C)CO']","[1, 1]",1
171,R_177,"['C(=O)CCCCCCCCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
93,DW_5-4,"['C(=O)CCC(=O)', 'OCCCCCO']","[1, 1]",1
157,R_153,"['C(=O)CCCC(=O)', 'OCCOCCO']","[1, 1]",1
214,R_64,"['C(=O)COCCOCC(=O)', 'OCC(C)(C)CO']","[1, 1]",1
185,R_211,"['C(=O)CCCCCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
46,DW_14-7,"['C(=O)CCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
153,R_148,"['C(=O)CCCCCCCC(=O)', 'OCCOCCO']","[1, 1]",1
223,R_77,"['C(=O)CSCC(=O)', 'OCC(C)O']","[1, 1]",1
166,R_168,"['C(=O)CSCC(=O)', 'OCCOCCOCCO']","[1, 1]",1
188,R_214,"['C(=O)CCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
16,AC_41,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
191,R_219,"['C(=O)CCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
24,DW_10-10,"['C(=O)COCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",1
164,R_163,"['C(=O)CCCCCCCCC(=O)', 'OCCOCCOCCO']","[1, 1]",1
107,DW_7-1,"['C(=O)CCCCC(=O)', 'OCCO']","[1, 1]",1
182,R_199,"['C(=O)CCCCC(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
57,DW_16-11,"['C(=O)CSCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
224,R_78,"['C(=O)CCCCCCCC(=O)', 'OCC(C)O']","[1, 1]",1
194,R_25,"['C(=O)CCCCCCCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
96,DW_5-9,"['C(=O)CCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
196,R_29,"['C(=O)CCCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
198,R_32,"['C(=O)CCCCCCCCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
202,R_5,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
54,DW_15-6,"['C(=O)CCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
133,R_107,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCCCCO']","[1, 1]",0
228,R_85,"['C(=O)CCCCCCCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
94,DW_5-5,"['C(=O)CCC(=O)', 'OCCCCCCO']","[1, 1]",0
4,AC_106,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(C)(C)CO']","[1, 1]",0
145,R_132,"['C(=O)CCCCCCCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
52,DW_15-4,"['C(=O)CCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
87,DW_3-6,"['C(=O)CCCCCCCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
3,AC_105,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
114,DW_7-6,"['C(=O)CCCCC(=O)', 'OCCC(C)CCO']","[1, 1]",0
42,DW_13-4,"['C(=O)CCCCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
152,R_146,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
85,DW_3-4,"['C(=O)CCCCCCCC(=O)', 'OCCCCCO']","[1, 1]",0
59,DW_16-8,"['C(=O)CSCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
150,R_143,"['C(=O)CCCCCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
