,Name,SMILES_List,Ratio_List,Biodegradability
2,AC_101,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCCCCO']","[1, 1]",0
16,AC_118,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O']","[1, 1]",0
36,AC_171,"['C(=O)C(=O)', 'Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O']","[1, 1]",1
38,AC_174,"['C(=O)CC(=O)', 'OCC=CCO']","[1, 1]",1
47,AC_196,"['C(=O)C(=O)', 'OCCCCCCCCCCO']","[1, 1]",1
51,AC_20,"['C(=O)CCCCCCCCC(=O)', 'OCCSCCO']","[1, 1]",1
54,AC_22,"['C(=O)CCCCCCCCC(=O)', 'OCC=CCO']","[1, 1]",0
58,AC_227,"['C(=O)CCC(=O)', 'Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O']","[1, 1]",0
62,AC_233,"['C(=O)CCC(=O)', 'Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O']","[1, 1]",0
63,AC_234,"['C(=O)CCC(=O)', 'Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O']","[1, 1]",1
65,AC_236,"['C(=O)CCC(=O)', 'OC(CO1)C2C1C(CO2)O']","[1, 1]",1
71,AC_241,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",0
77,AC_25,"['C(=O)CCCCCCCCC(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
78,AC_251,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
93,AC_28,"['C(=O)CCCCCCCCC(=O)', 'Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O']","[1, 1]",1
98,AC_297,"['C(=O)CCCCC(=O)', 'OCC=CCO']","[1, 1]",0
114,AC_33,"['C(=O)CCCCCCCCC(=O)', 'Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O']","[1, 1]",1
115,AC_36,"['C(=O)c(cc1)ccc1C(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
118,AC_39,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
119,AC_40,"['C(=O)c(cc1)ccc1C(=O)', 'OCC#CCO']","[1, 1]",1
120,AC_41,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
123,AC_45,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
130,AC_51,"['C(=O)CCCCCCCCC(=O)', ' Oc1ccc(cc1)C2(CCCCC2)c3ccc(O)cc3']","[1, 1]",1
133,AC_55,"['C(=O)CCCCCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
150,AC_77,"['C(=O)CCCCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
156,AC_84,"['C(=O)CCCCCCC(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
165,AC_99,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCO']","[1, 1]",0
174,C_20,"['C(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
176,C_22,"['C(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",0
177,C_25,"['C(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
179,C_28,"['C(=O)', 'Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O']","[1, 1]",0
185,C_35,"['C(=O)', 'OCC#CCO']","[1, 1]",1
189,C_4,"['C(=O)', 'Oc1ccc(cc1)C3(c2ccc(O)cc2)c4ccccc4-c5ccccc35']","[1, 1]",0
190,C_40,"['C(=O)', 'OCCCCO']","[1, 1]",1
197,C_7,"['C(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
198,C_8,"['C(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",0
210,DW_10-9,"['C(=O)COCC(=O)', 'OCCCCCCCCCO']","[1, 1]",1
212,DW_12-11,"['C(=O)CSCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",1
215,DW_12-5,"['C(=O)CN(C)CC(=O)', 'OCCC(C)CCO']","[1, 1]",0
224,DW_13-4,"['C(=O)CCCCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
225,DW_13-5,"['C(=O)CCCCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
233,DW_14-5,"['C(=O)CCCCC(=O)', 'Oc1cccc(c1)O']","[1, 1]",1
239,DW_15-2,"['C(=O)CCC(=O)', 'OCC(C)CO']","[1, 1]",1
240,DW_15-3,"['C(=O)CCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
251,DW_16-3,"['C(=O)CN(C)CC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
254,DW_16-6,"['C(=O)CSCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",1
256,DW_16-8,"['C(=O)CSCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
259,DW_17-10,"['C(=O)COCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
261,DW_17-2,"['C(=O)COCC(=O)', 'OCC(C)CO']","[1, 1]",1
270,DW_18-2,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCO']","[1, 1]",0
273,DW_18-5,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
275,DW_18-7,"['C(=O)c(cc1)ccc1C(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
276,DW_18-8,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",0
278,DW_19-10,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)(C)CO']","[1, 1]",0
279,DW_19-11,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)CO']","[1, 1]",1
296,DW_3-7,"['C(=O)CCCCCC(=O)', 'OCCO']","[1, 1]",1
299,DW_5-1,"['C(=O)CCC(=O)', 'OCCO']","[1, 1]",0
300,DW_5-10,"['C(=O)CCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
301,DW_5-11,"['C(=O)CCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
307,DW_5-7,"['C(=O)CCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
311,DW_6-10,"['C(=O)CCCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
315,DW_6-4,"['C(=O)CCCC(=O)', 'OCCCCCO']","[1, 1]",1
317,DW_6-6,"['C(=O)CCCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
320,DW_6-9,"['C(=O)CCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
323,DW_7-11,"['C(=O)CCCCCCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
331,DW_7-9,"['C(=O)CCCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
333,DW_8-10,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
348,R_102,"['C(=O)c(ccc1c2)cc1ccc2C(=O)', 'OCCCCO']","[1, 1]",0
353,R_107,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCCCCO']","[1, 1]",0
360,R_115,"['C(=O)c(ccc1c2)cc1ccc2C(=O)', 'OCCCCCCCCO']","[1, 1]",0
369,R_125,"['C(=O)CCCCCCCCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
382,R_139,"['C(=O)CCCCCC(=O)', 'OCCCCCCCCO']","[1, 1]",1
