,Name,SMILES_List,Ratio_List,Biodegradability
5,AC_105,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
6,AC_106,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(C)(C)CO']","[1, 1]",0
12,AC_113,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O']","[1, 1]",0
21,AC_13,"['C(=O)CC(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
31,AC_16,"['C(=O)CCCCCCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
32,AC_160,"['C(=O)CC(=O)', 'Oc1ccc(cc1)C3(c2ccc(O)cc2)c4ccccc4-c5ccccc35']","[1, 1]",1
33,AC_161,"['C(=O)CC(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
41,AC_177,"['C(=O)CC(=O)', 'OCCSSCCO']","[1, 1]",1
42,AC_180,"['C(=O)C(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",1
45,AC_193,"['C(=O)C(=O)', 'OC(C)CCC(C)O']","[1, 1]",0
48,AC_197,"['C(=O)C(=O)', 'OCC(CC)(CC)CO']","[1, 1]",1
49,AC_199,"['C(=O)C(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",1
50,AC_2,"['C(=O)CC(=O)', 'Oc1ccc(cc1)Cc2ccc(cc2)O']","[1, 1]",0
60,AC_23,"['C(=O)CCCCCCCCC(=O)', 'Oc1cccc(c1)O']","[1, 1]",1
61,AC_232,"['C(=O)CCC(=O)', 'Oc(cccc1)c1c2c(cccc2)O']","[1, 1]",1
64,AC_235,"['C(=O)CCC(=O)', 'OCC#CCO']","[1, 1]",1
67,AC_238,"['C(=O)CCC(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
73,AC_245,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O']","[1, 1]",0
74,AC_247,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O']","[1, 1]",0
84,AC_262,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1cccc(c1)O']","[1, 1]",0
85,AC_263,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
88,AC_27,"['C(=O)CCCCCCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O']","[1, 1]",1
101,AC_3,"['C(=O)CC(=O)', 'Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O']","[1, 1]",0
104,AC_301,"['C(=O)CCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
110,AC_307,"['C(=O)CCCCC(=O)', 'OCC#CCO']","[1, 1]",1
111,AC_308,"['C(=O)CCCCC(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
128,AC_5,"['C(=O)CC(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
129,AC_50,"['C(=O)c(cc1)ccc1C(=O)', 'OCC=CCO']","[1, 1]",0
146,AC_71,"['C(=O)CCCCCCCC(=O)', 'Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O']","[1, 1]",1
157,AC_85,"['C(=O)CCCCCCC(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
163,AC_97,"['C(=O)c(cc1)ccc1C(=O)', 'Oc(cccc1)c1c2c(cccc2)O']","[1, 1]",0
164,AC_98,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCO']","[1, 1]",0
167,C_12,"['C(=O)', 'OCC=CCO']","[1, 1]",0
170,C_17,"['C(=O)', 'OCCCCCCCCO']","[1, 1]",0
178,C_26,"['C(=O)', 'OCCOCCO']","[1, 1]",1
182,C_30,"['C(=O)', 'OCC(C)OCC(C)O']","[1, 1]",0
184,C_34,"['C(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
186,C_36,"['C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",0
187,C_37,"['C(=O)', 'Oc1ccc(cc1)Cc2ccc(cc2)O']","[1, 1]",0
192,C_42,"['C(=O)', 'OCC(C)CO']","[1, 1]",0
194,C_48,"['C(=O)', 'OC(C=C)C(C=C)O']","[1, 1]",0
199,C_9,"['C(=O)', 'OCCSCCO']","[1, 1]",1
